id,summary
0,"-----------------
The study aims to investigate the role of personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences in the onset and maintenance of chronic migraine, fibromyalgia, and vulvodynia. The study will involve the administration of a protocol of self-report questionnaires to assess these factors in a cohort of women diagnosed with these conditions and a control group of women without chronic pain conditions. The primary outcome measures include the Central Sensitivity Index, Traumatic Experiences Index, Personality Traits, Defense Mechanisms, and Mental Pain. The secondary outcome measures include the presence and intensity of psychological symptoms of depression, anxiety, and psychosomatics, as well as other measures of quality of life, alexithymic traits, perceived social support, sexual satisfaction, and genital pain."
1,"This study aims to compare the pressure ulcer prevention effects of two mattresses with different support surfaces used in bedridden patients. The experimental group will use a massage mattress with a cube/block system, while the control group will use a standard viscoelastic pressure sore prevention mattress. The study will follow patients for four weeks, and the primary outcome measure is the number of patients without pressure ulcers.

The study will include patients with a low risk rating on the Braden Scale, voluntary informed consent from conscious patients and consent from the legal guardian for unconscious or confused patients, absence of pressure sores upon admission, a BMI not exceeding 30.00, and a bed change interval of more than ten days. The study will use a randomized parallel assignment design with triple masking.

The primary outcome measure is the number of patients without pressure ulcers. Patients in both groups will undergo initial assessments using the Braden Scale to determine their pressure sore risk. Both groups will be monitored for a maximum of four weeks, with daily pressure ulcer assessments conducted using the Pressure Ulcer Observation Form. Pressure sore area in both groups will be calculated in square centimeters (cm2) using the Wound Measurement Ruler.

The study will compare the pressure ulcer prevention effects of two mattresses with different support surfaces used in bedridden patients. The experimental group will use a massage mattress with a cube/block system, while the control group will use a standard viscoelastic pressure sore prevention mattress. The study will follow patients for four weeks, and the primary outcome measure is the number of patients without pressure ulcers.

The study will include patients with a low risk rating on the Braden Scale, voluntary informed consent from conscious patients and consent from the legal guardian for unconscious or confused patients, absence of pressure sores upon admission, a BMI not exceeding 30.00, and a bed change interval of more than ten days. The study will use a randomized parallel assignment design with triple masking.

The primary outcome measure is the number of patients without pressure ulcers. Patients in both groups will undergo initial assessments using the Braden Scale to determine their pressure sore risk. Both groups will be monitored for a maximum of four weeks, with daily pressure ulcer assessments conducted using the Pressure Ulcer Observation Form"
2,"This clinical trial aims to investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with Type 1 Diabetes Mellitus (T1DM). The study will be conducted in two groups: the experimental group, which will perform exercise with augmented reality glasses, and the control group, which will not receive any intervention. The primary outcome measures are the change in HbA1c levels, body mass index, and quality of life. The study will last for 12 weeks, with each session lasting 60 minutes and taking place two days a week. The results of this study may provide valuable insights into the potential benefits of exercise with augmented reality glasses for children with T1DM.

Output: The clinical trial investigates the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with Type 1 Diabetes Mellitus. The study will last for 12 weeks, with each session lasting 60 minutes and taking place two days a week. The primary outcome measures are the change in HbA1c levels, body mass index, and quality of life. The study will be conducted in two groups: the experimental group, which will perform exercise with augmented reality glasses, and the control group, which will not receive any intervention."
3,"The study aims to evaluate the effect of virtual reality on anxiety management before abdominal surgery. The study will be conducted on patients who will undergo abdominal surgery in the Trakya University Health Research Center General Surgery Clinic between 01.03.2023 and 01.12.2023. The study will be designed using the experimental (intervention) research method. The intervention group will watch a virtual reality video with mobile virtual glasses, while the placebo group will watch the same video without virtual glasses. The primary outcome measures are preoperative anxiety levels measured by a smart bracelet and the Visual Anxiety Scale (VAS-A) before and after watching the video.

The study will include 96 patients, with 32 patients in each group (experimental, placebo, and control). The study will use a randomized parallel assignment model, and the study will be open-label. The study will use a pre-test and post-test design, with an additional control group that will not be interfered with. The study will use a smart wristband with a stress level measurement feature, a patient information form, and a visual anxiety scale (VAS-A) to collect data. The study will use parametric and non-parametric tests to analyze the data, and the power of the sample will be calculated with post hoc analysis.

The study will measure the effect of virtual reality on preoperative anxiety levels in patients undergoing abdominal surgery. The study will use a randomized parallel assignment model and an open-label design. The study will use a pre-test and post-test design, with an additional control group that will not be interfered with. The study will use a smart wristband with a stress level measurement feature, a patient information form, and a visual anxiety scale (VAS-A) to collect data. The study will use parametric and non-parametric tests to analyze the data, and the power of the sample will be calculated with post hoc analysis.

The study will measure the effect of virtual reality on preoperative anxiety levels in patients undergoing abdominal surgery. The study will use a randomized parallel assignment model and an open-label design. The study will use a pre-test and post-test design, with an additional control group that will not be interfered with. The study will use a"
4,"The study aims to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery. The study is a single-arm, prospective, interventional study with an open-label design. The primary outcome measure is the proportion of patients with a suture length/wound length (SL/WL) ratio of ≥ 4. Secondary outcome measures include stitch count, number of sutures used, incision closure time, surgeon's comfort with the device during closure, and surgeon's satisfaction with the final closure result.

The study will include male and female patients aged ≥ 18 years who are undergoing elective open abdominal surgery for benign or malignant colorectal disease through a midline incision. Exclusion criteria include previous abdominal surgery involving the midline, significant abnormal physical findings, existing midline hernia, cutaneous infection, fistula, psoriasis of abdominal skin, morbidly obese patients, pre-operative findings that may preclude the conduct of the investigation, history of anaphylaxis to drugs or allergic reactions, known or identified disseminated cancer disease, collagen diseases and immune deficiency disorders, significant history of renal, hepatic, gastrointestinal, cardiovascular, respiratory, skin, haematological, endocrine or neurological diseases, life expectancy less than 1 year, medications that could interfere with the investigation procedures or investigation outcome, pregnancy or breastfeeding, and vulnerable subjects.

The study will use the Suture-TOOL device for the closure of the abdomen after laparotomy. The device is a suture device for fast and standardized closure of the abdominal fascia. The study will measure the proportion of patients with a SL/WL ratio of ≥ 4, stitch count, number of sutures used, incision closure time, surgeon's comfort with the device during closure, and surgeon's satisfaction with the final closure result.

The study is designed to assess the clinical performance and safety of the Suture-TOOL device for abdominal wound closure in men and women patients undergoing elective open abdominal surgery. The primary outcome measure is the proportion of patients with a suture"
5,"The Immune Biomarker Study for Salivary Gland Carcinoma is a study that aims to investigate the immune characteristics of patients with primary salivary gland carcinoma and benign salivary gland tumors, as well as healthy controls. The study will use patient's stool, saliva, and blood samples to evaluate immune characteristics and assess changes in the immune matrix, immunophenotyping, cytokine expression, metabolic state, and microbiomic state from baseline to the end of the study period, up to 5 years. The study will include three participant groups: an observational group with primary salivary gland carcinoma, a control group with benign salivary gland tumors, and a healthy control group with functional diseases of the nose or ear. The study will exclude patients with distant metastasis, malignancy in the last 5 years, and those who are unable or unwilling to comply with the protocol.

The study will use a liquid immune profile-based signature (LIPS) and tumor-associated lymphocytes (TAL) to characterize immunological groups using cluster analysis. The distribution of immune cells and messenger substances in the blood will be examined by immunophenotyping, and cytokine expression in peripheral blood will be analyzed. The study will also assess the patient's metabolic state and microbiomic state by examining serum/plasma and saliva, tumor, and stool samples.

The primary outcome measures of the study are the observation of changes in the established immune matrix (intratumoral and systemic), longitudinal immunophenotyping of the patients, detection of cytokines in peripheral blood, analysis of patient's metabolic state, and analysis of patient's microbiomic state.

The study will be conducted for up to 5 years, with the analyses conducted from baseline to the end of the study period.

Output:

The Immune Biomarker Study for Salivary Gland Carcinoma is a study that investigates the immune characteristics of patients with primary salivary gland carcinoma and benign salivary gland tumors, as well as healthy controls, using patient's stool, saliva, and blood samples. The study aims"
6,"The study aims to determine compliance with the Mediterranean diet, the tendency to use various nutritional supplements, physical activity habits, walking-related problems, and quality of life in MS patients and to evaluate whether there is a significant relationship between these parameters. The study will use the 14-item Mediterranean Diet Adaptation Scale (PREDIMED) to determine the adaptation status of individuals to the Mediterranean diet. The quality of life of individuals will be determined by the Multiple Sclerosis International Quality of Life Scale. The 12-item Ms Gait Scale will be used to determine the gait impact. The disability status of the patients will be determined using the Expanded Disability Status Scale (EDSS).

The study will include participants between the ages of 18-65 who have been diagnosed with multiple sclerosis and have voluntarily agreed to participate in the research. Exclusion criteria include being under the age of 18 and over the age of 65, being pregnant or in the postpartum period during the research, having an attack during the research, having another disease that prevents them from doing physical activity, and having a disease that requires a special diet.

The study will measure the Mediterranean Diet Compliance Status, Quality of Life of Multiple Sclerosis Patients, Impacts on Walking, and Expanded Disability Status Scale. The study will last for 1 year.

The study will use the 14-item Mediterranean Diet Adaptation Scale (PREDIMED) to determine the adaptation status of individuals to the Mediterranean diet. The quality of life of individuals will be determined by the Multiple Sclerosis International Quality of Life Scale. The 12-item Ms Gait Scale will be used to determine the gait impact. The disability status of the patients will be determined using the Expanded Disability Status Scale (EDSS).

The study will last for 1 year and will include participants between the ages of 18-65 who have been diagnosed with multiple sclerosis and have voluntarily agreed to participate in the research. Exclusion criteria include being under the age of 18 and over the age of 65, being pregnant or in the postpartum period during the research, having an attack during the research, having another disease that prevents them from doing physical activity, and having a disease that requires a special"
7,"The SIIT-CD Study is a multicenter, prospective, randomized, controlled study that aims to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study includes patients aged 18-75 years with active Crohn's disease, who have moderate and low responsive activity. Patients in the experimental group receive selective intensive induction therapy based on ustekinumab clinical decision-making tools, while patients in the control group receive non-intensive induction therapy. The primary outcome measure is the difference in clinical response rate at week 24 between the two groups.

The study is designed as a parallel assignment, with no masking (open label). The intervention model is randomized, and the primary purpose is treatment. The study will measure the difference in clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen.

Exclusion criteria include subjects who have undergone extensive colectomy, subtotal colectomy, or total colectomy; subjects with ileostomy and colostomy; patients with significant liver, kidney, endocrine, respiratory, neurological, or cardiovascular diseases; patients with fibrous stenosis and prestenosis dilatation; and contraindications of UST as documented in other specifications.

The study will be conducted in multiple centers, and the results will be used to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease.

Output:
The SIIT-CD Study is a multicenter, prospective, randomized, controlled study evaluating the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study includes patients aged 18-75 years with active Crohn's disease and moderate and low responsive activity. Patients receive either selective intensive induction therapy or non-intensive induction therapy. The primary outcome measure is the difference in clinical response rate at week 24 between the two groups. The study is designed as a parallel assignment, with no mask"
8,"This study aims to investigate the preference of a culturally and linguistically diverse (CALD) population for second line OAB therapy using a discrete choice experiment. The study includes adult patients with overactive bladder (OAB) and excludes those with a history of sacral neuromodulation (SNM) or botox treatment. Participants will complete a questionnaire that presents two fictive therapies with different botox and sacral neuromodulator (SNM) characteristics. The primary outcome measure is the discrete choice questionnaire, which will be completed in one hour.

Output:

The study investigates the preference of a culturally and linguistically diverse (CALD) population for second line OAB therapy using a discrete choice experiment. It includes adult patients with overactive bladder (OAB) and excludes those with a history of sacral neuromodulation (SNM) or botox treatment. Participants complete a questionnaire presenting two fictive therapies with different botox and sacral neuromodulator (SNM) characteristics, and the primary outcome measure is the discrete choice questionnaire, completed in one hour."
9,"-----------------
The study aims to generate evidence to inform policy and decision makers on the potential benefits of use of Continuous Glucose Monitoring (CGM) devices in South Africa. The study is a three-arm pragmatic randomized controlled study with a total of 15 months of intervention period. The study will be conducted in three selected clinics in South Africa. The study will enroll 300 participants (100 per arm) who are living with Type 1 diabetes and are attending for diabetes care at the selected clinics. The study will compare the impact of continuous and intermittent CGM use on blood glucose levels in comparison to standard of care in people living with type 1 diabetes. The primary outcome measure is the change in HbA1c levels before and after treatment in standard of care, continuous, and intermittent CGM arms. The study will also assess the impact of continuous and intermittent CGM use on the variability of blood glucose concentrations related to diabetes, unplanned visits to outpatient clinics and/or hospital related to diabetes complications, quality of life of recipients of diabetes care and their caregivers (where applicable), acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and care givers perspective, and cost of continuous and intermittent CGM use from a user and provider perspective."
