id,summary
0,"This is a study investigating the role of psychological factors such as personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences in women with chronic migraine, fibromyalgia, and vulvodynia. The study aims to identify specific clusters of these psychological variables that may characterize or differentiate between these chronic pain conditions, which are considered subtypes of nociplastic pain. The study involves administering a battery of self-report questionnaires to four groups of women: those diagnosed with fibromyalgia, chronic migraine, vulvodynia, and a control group without chronic pain conditions. The primary outcomes measured include central sensitivity, traumatic experiences, personality traits, defense mechanisms, mental pain, and environmental sensitivity. Secondary outcomes include psychological symptoms, quality of life, alexithymia, social support, sexual satisfaction and functioning, and genito-pelvic pain. The study hypothesizes that specific psychological factor clusters involving high levels of traumatic events, central sensitization, and certain personality traits and defense mechanisms will characterize each of the chronic pain groups compared to controls."
1,"This clinical trial aimed to compare the effectiveness of two different mattress types in preventing pressure ulcers in bedridden patients. The study had a randomized, parallel-group design with triple masking.

Participants were adults without pressure ulcers at admission, with a low risk rating on the Braden Scale, a BMI not exceeding 30, and provided informed consent. Exclusion criteria included changing beds within 10 days, patient referral, or discharge.

The experimental group (Group I) used a massage mattress with a cube/block system and ventilation, designed to create low-pressure areas and prevent pressure ulcers. The control group (Group II) used a standard viscoelastic mattress with an orthopedic support surface.

Patients were assessed for pressure ulcer risk using the Braden Scale upon admission and monitored for up to four weeks with daily assessments using the Pressure Ulcer Observation Form. The primary outcome measure was the number of patients without pressure ulcers, with the aim of preventing pressure ulcer formation through the use of the massage mattress with the cube/block system."
2,"This clinical trial aims to investigate the effect of exercise with augmented reality (AR) glasses on metabolic parameters, anthropometric measurements, and quality of life in children aged 10-12 with type 1 diabetes mellitus (T1DM). The study is designed as a randomized, parallel-group trial with quadruple masking.

The intervention group will participate in moderate exercise sessions with AR glasses twice a week for 12 weeks, with each session lasting 60 minutes. The control group will not receive any intervention.

The primary outcome measures include changes in HbA1c levels, body mass index, and quality of life, assessed using the PedsQL 3.0 scale. These measures will be evaluated before, during, and after the exercise sessions, as well as during the control period.

The study will include children aged 10-12 years who have been diagnosed with T1DM for at least six months, do not have any other chronic diseases or psychiatric diagnoses, and meet the specified inclusion and exclusion criteria.

The trial aims to investigate the potential benefits of exercise with AR glasses on metabolic control, anthropometric measurements, and quality of life in children with T1"
3,"This is a randomized controlled trial investigating the effect of virtual reality on preoperative anxiety before abdominal surgery. The study aims to answer two key questions: 1) What is the frequency of anxiety before abdominal surgery? 2) What is the effect of virtual reality on anxiety management before abdominal surgery?

The study has three arms: an experimental group that will watch a virtual reality video using mobile virtual glasses, a placebo group that will watch the same video without virtual glasses, and a control group with no intervention. The primary outcomes are preoperative anxiety levels measured by a smart wristband and the Visual Analog Scale for Anxiety (VAS-A) before and after watching the video.

Eligible participants are adults aged 18-70 years scheduled for abdominal surgery who can communicate in Turkish and do not have any conditions preventing them from using virtual glasses. The study plans to enroll 96 participants, with 32 in each arm. Data will be collected using a patient information form, VAS-A, and a smart wristband with stress level measurement features. The study is designed as a parallel-group, open-label randomized controlled trial."
4,"This is a single-arm, prospective, open-label interventional study evaluating the clinical performance and safety of the Suture-TOOL device for abdominal wound closure in patients undergoing elective open abdominal surgery. The primary outcome measure is the proportion of patients with a suture length to wound length ratio of ≥4. Secondary outcomes include stitch count, number of sutures used, incision closure time, surgeon's comfort with the device, and surgeon's satisfaction with the final closure result. Eligible participants are male and female patients aged 18 years or older undergoing elective open abdominal surgery for benign or malignant colorectal disease through a midline incision of at least 12 cm. The study excludes patients with previous abdominal surgery involving the midline, existing midline hernia, cutaneous infection, morbid obesity, disseminated cancer, collagen or immune deficiency disorders, and other significant medical conditions that could interfere with the study objectives."
5,"This is a study investigating immune biomarkers in salivary gland carcinoma patients, benign salivary gland tumor patients, and healthy controls. The key aspects are:

- It includes three groups: salivary gland carcinoma patients, benign salivary gland tumor patients, and healthy controls with functional nose/ear diseases.
- The intervention involves sampling of blood, saliva, and stool from participants to evaluate immune characteristics.
- Primary outcomes include observing changes in an established immune matrix, immunophenotyping, cytokine analysis, metabolic state analysis, and microbiome analysis.
- Measurements will be taken at baseline and over a period of up to 5 years to assess changes in immune markers, metabolites, and microbiome.
- The study aims to characterize immunological groups using cluster analysis and assess the systemic and intratumoral immune profiles of participants."
6,"This clinical trial aims to evaluate the compliance to the Mediterranean diet, impacts on walking ability, and quality of life in individuals with multiple sclerosis (MS). The study will recruit participants aged 18-65 years diagnosed with MS. The primary outcomes measured include Mediterranean diet compliance status using the PREDIMED scale, quality of life using the Multiple Sclerosis International Quality of Life Scale, impacts on walking using the MS Gait Scale, and disability status using the Expanded Disability Status Scale (EDSS). The study aims to determine if there is a significant relationship between these parameters in MS patients. The trial will assess the potential benefits of the Mediterranean diet, which is rich in monounsaturated fats, antioxidants, and anti-inflammatory components, on the course and treatment of MS, a chronic autoimmune disease."
7,"This is a multicenter, prospective, randomized, open-label, controlled study evaluating the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study involves two arms: an experimental arm receiving selective intensive induction therapy with ustekinumab based on clinical decision-making tools, and a control arm receiving non-intensive induction therapy. The primary outcome measure is the difference in clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen. Eligible participants are adults aged 18-75 years with a diagnosis of Crohn's disease in an active period, with moderate to low responsive activity based on ustekinumab clinical decision-making tool scores. The study aims to assess the potential benefits of an intensive induction regimen guided by clinical decision-making tools in improving treatment outcomes for Crohn's disease patients."
8,"This is a study investigating the preferences of culturally and linguistically diverse (CALD) patients with overactive bladder (OAB) for second-line OAB therapies, specifically onabotulinum toxin A (Botox) and sacral neuromodulation (SNM). The study employs a discrete choice experiment, where adult OAB patients who have not previously received Botox or SNM treatments are asked to complete a questionnaire. In the questionnaire, participants are presented with hypothetical scenarios involving two fictive therapies with varying characteristics related to Botox and SNM, and they must choose their preferred option. The primary outcome measure is the patients' choices between these hypothetical therapy options, which will be used to assess their preferences for different attributes of Botox and SNM treatments. The study aims to understand the treatment preferences of CALD patients with OAB, potentially informing more culturally-tailored care for this diverse population."
9,"This is a three-arm pragmatic randomized controlled trial investigating the effectiveness, feasibility, acceptability, and cost of using continuous glucose monitoring (CGM) devices among people living with type 1 diabetes in South Africa. The study has the following key aspects:

1. Study Design: 
   - Three arms: Arm 1 (continuous CGM use for 9 months), Arm 2 (intermittent CGM use for 4 periods of 2 weeks each over 9 months), and Arm 3 (standard care with self-monitoring of blood glucose).
   - Duration: 15 months (9 months of intervention and 6 months of follow-up).
   - Primary Outcome: Change in HbA1c levels.
   - Secondary Outcomes: Glucose variability, hospitalizations, quality of life, acceptability, feasibility, and cost.

2. Eligibility Criteria:
   - Inclusion: People with type 1 diabetes, HbA1c ≥10% in the last 3 months, caregivers of enrolled children/adolescents, and healthcare providers involved in"
