id,summary
0,"This clinical trial aims to investigate the psychological factors associated with nociplastic pain in patients with chronic migraine, fibromyalgia, and vulvodynia. The study will assess personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences in these patients. The trial will involve administering self-report questionnaires to participants in each group, as well as a control group without chronic pain conditions. The primary outcome measures include central sensitivity, traumatic experiences, personality traits, defense mechanisms, mental pain, and environmental sensitivity. Secondary outcome measures include psychological symptoms, quality of life, alexithymic traits, perceived social support, sexual satisfaction, genital pelvic pain, and sexual functioning."
1,"This clinical trial aims to compare the effectiveness of two different mattresses in preventing pressure ulcers in bedridden patients. The study will have two groups: one group will use a massage mattress with a cube/block system, while the other group will use a standard mattress. The primary outcome measure is the number of patients without pressure ulcers after four weeks. The study will also assess the pressure sore area in both groups. The study design is randomized, with parallel assignment and triple masking. The eligible participants are adults aged 18 years and above of any gender, and the study accepts healthy volunteers."
2,"This clinical trial aims to examine the effects of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with Type 1 Diabetes. The study will involve children who have been diagnosed with Type 1 Diabetes for at least six months and do not have any other chronic diseases or psychiatric diagnoses. The intervention will consist of moderate exercise sessions using augmented reality glasses, which will be conducted twice a week for a total of 12 weeks. The primary outcome measures include changes in HbA1c levels, body mass index, and quality of life over the 12-week sessions. The study design is a randomized, parallel assignment, with the control group receiving no intervention."
3,"This clinical trial aims to evaluate the effect of virtual reality on preoperative anxiety in patients undergoing abdominal surgery. The study will use preoperative anxiety scales and data collection tools such as patient information forms, VAS-A (Visual Anxiety Scale), and a smart wristband with stress level measurement feature. The sample will consist of individuals who meet the selection criteria and volunteer to participate in the research. The study design is experimental, with a parallel assignment of participants to different groups. The intervention group will watch a virtual reality video with virtual glasses, the placebo group will watch the plain version of the video without virtual glasses, and the control group will receive anxiety control. The primary outcome measures are the preoperative anxiety levels measured before and after watching the video using the smart wristband and VAS-A scale. The study aims to provide insights into the effectiveness of virtual reality in managing preoperative anxiety before abdominal surgery."
4,"This clinical trial aims to evaluate the clinical performance and safety of a device called Suture-TOOL for abdominal wound closure in both men and women undergoing elective open abdominal surgery. The study will measure the proportion of patients with a specific suture length to wound length ratio, as well as secondary outcomes such as stitch count, number of sutures used, incision closure time, surgeon's comfort with the device, and surgeon's satisfaction with the closure result. The study design is a single-arm prospective interventional study, and the participants will be assigned to the experimental group receiving the Suture-TOOL device. The study does not accept healthy volunteers, and the minimum age for participation is 18 years."
5,"This clinical trial is titled ""Immune Biomarker Study for Salivary Gland Carcinoma"" and aims to evaluate immune biomarkers in patients with salivary gland tumors. The study includes three groups: an observational group with salivary gland carcinoma, a control group with benign salivary gland tumors, and a control group with functional diseases of the nose or ear. The participants will undergo sampling of blood, saliva, and stool for immune characteristic evaluation. The study will measure changes in immune matrix, immunophenotyping, cytokine expression, metabolic state, and microbiomic state in the participants over a period of up to 5 years."
6,"This clinical trial aims to determine the compliance to the Mediterranean diet, its impacts on walking and quality of life in individuals with multiple sclerosis (MS). The study will use various measures, such as the Mediterranean Diet Adaptation Scale, Multiple Sclerosis International Quality of Life Scale, MS Gait Scale, and Expanded Disability Status Scale, to assess the participants' diet compliance, quality of life, walking abilities, and disability status. The study will be conducted over a period of 1 year, with measurements taken at different time frames. The eligibility criteria include being between the ages of 18-65 and having been diagnosed with MS. The study does not accept healthy volunteers."
7,"This clinical trial, called the SIIT-CD Study, aims to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study will include patients aged 18-75 years old who are in the active period of the disease. The primary outcome measure is the difference in clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen. The study design is a multicenter, prospective, randomized, controlled study with two participant groups: the SIIT group receiving the selective intensive induction therapy and the non-intensive induction therapy group."
8,"This clinical trial aims to investigate the preferences of a culturally and linguistically diverse population for second-line therapy for overactive bladder (OAB). The study will use a discrete choice experiment, where participants will fill in a questionnaire and choose between two fictive therapies with different characteristics of onabotulinum toxin A (botox) and sacral neuromodulation (SNM). The primary outcome measure is the completion of the discrete choice questionnaire. The study is open to adult patients with OAB, with a minimum age of 18 years. Healthy volunteers are not accepted for participation."
9,"This clinical trial aims to investigate the effectiveness, feasibility, acceptability, and cost of using continuous glucose monitoring (CGM) devices among people living with type 1 diabetes in South Africa. The study will involve three arms: Arm 1 will use CGM continuously for 9 months, Arm 2 will use CGM intermittently for 2 weeks every 3 months for 9 months, and Arm 3 will follow standard of care (self-monitoring of blood glucose) for 9 months. The primary outcome measure is the impact of CGM use on blood glucose levels. Secondary outcome measures include the impact on glucose variability, hospitalizations related to diabetes complications, quality of life, acceptability and feasibility, and cost. The study will involve multiple study visits and qualitative methods such as focus group discussions and interviews. The study design is a pragmatic randomized controlled trial."
10,"This clinical trial aims to investigate the use of Stereotactic Ablative Body Radiotherapy (SBRT) with focal dose escalation on the dominant lesion in localized prostate cancer. The study will evaluate the effectiveness of this treatment in terms of biochemical progression-free survival and local control. It will also assess the incidence and severity of urinary and rectal treatment-related adverse events, both acute and late, as well as patient-reported outcomes and quality of life. The study will involve male participants with histologically confirmed adenocarcinoma of the prostate. The intervention will consist of Prostate SBRT with a focal boost, delivered in multiple sessions. The study design is a single-group assignment without masking. Minimum age for participation is 18 years, and healthy volunteers are not accepted."
11,"This clinical trial, titled ""Serious gaMes as Emerging E-health Interventions for Young People With neurologicaL or rEspiratory disoRders"" (SMILER), aims to study the effectiveness of a serious game intervention for children with controlled asthma. The intervention involves using a serious game (SG) that incorporates physical exercises and collects real-time data to adapt the game experience based on the child's motor skills. The study will measure outcomes such as pediatric quality of life, skills and difficulties, and the conserved transcriptional response to adversity. Participants will be divided into two groups, with one group receiving the SG intervention and the other following standard treatment. The study will last for 6 months."
12,"This clinical trial aims to assess the effects of stress on Pavlovian to instrumental transfer (PIT) and its neuroimaging correlates in individuals with alcohol use disorder (AUD). The investigators will also examine the relationship between cognitive control abilities and the costs of interference in PIT. Additionally, the trial will compare PIT and its neural mechanisms between different drugs of abuse by including participants with AUD and smokers. The trial consists of three experiments and will involve various interventions and assessments, including fMRI imaging, behavioral tasks, questionnaires, and diagnostic tests. The primary outcome measures include neural and behavioral PIT effects, chronic stress levels, cognitive control measures, and acute stress induction. The secondary outcome measure is alcohol consumption after 12 months."
13,"This clinical trial aims to evaluate the optimal time to wean premature neonates off of continuous positive airway pressure (CPAP) in order to reduce failure rates. The trial will involve infants born between 23 0/7 and 29 6/7 weeks gestational age and will take place in four Neonatal Intensive Care Units (NICUs). The researchers plan to recruit 130 infants and will implement a standardized weaning protocol for the treatment group, while the control group will undergo weaning based on unit-specific practices. The primary outcome measure will be the number of participants with CPAP weaning failure. Secondary outcome measures include stimulation events, length of hospital stay, bronchopulmonary dysplasia, use of postnatal steroids and antibiotics, re-intubation, duration of respiratory support, need for supplemental oxygen, pulmonary air leaks, nasal deformities, time to establish full tube and oral feeds, nosocomial infections, intraventricular hemorrhage, retinopathy of prematurity, and weight gain."
14,"This clinical trial is a randomized, double-blind, Phase 3 study comparing the efficacy and safety of the drug Frexalimab (SAR441344) to a placebo in adult participants with nonrelapsing secondary progressive multiple sclerosis (SPMS). The study aims to measure the time to onset of composite confirmed disability progression (cCDP) over 6 months as the primary outcome measure. Secondary outcome measures include the time to onset of composite cCDP over 3 months, time to onset of individual components of the composite, confirmed disability improvement (CDI), number of new and/or enlarging T2hyperintense lesions per scan as detected by MRI, percent change in brain volume loss, change in cognitive function, change in multiple sclerosis impact scale scores, change in fatigue levels, annualized relapse rate, and the occurrence of adverse events. The study will also monitor antibody levels, serum Ig levels, plasma neurofilament light chain levels, and Frexalimab plasma concentration over time. The study will include adult participants between the ages of 18 and 60 years."
15,"This clinical trial aims to compare the outcomes of two different surgical techniques for repairing unilateral cleft lip. The study will involve infants between the ages of 2-6 months with unilateral cleft lip. The two techniques being compared are the modified Millard technique and the Mishra technique. The primary outcome measures will include measurements of vertical lip height, horizontal lip length, and philtral length, which will be assessed 3 months post-operatively. The study will be a randomized controlled trial with three groups: a control group, a group receiving the Mishra technique, and a group receiving the modified Millard technique. The trial will provide valuable data for evaluating the effectiveness of these two surgical approaches for repairing unilateral cleft lip."
16,"This clinical trial aims to evaluate the effectiveness and safety of endoscopic management of controlled colo-cutaneous fistula as a complication of acute sigmoid diverticulitis. The study will include patients with recurrent fistula who have failed conservative measures and are in good general condition. The patients will be randomly assigned to either the endoscopic group or the surgical group. The endoscopic group will undergo endoscopic management of the fistula using clips or endostitches, while the surgical group will undergo sigmoid resection with primary anastomosis. The primary outcome measure is the incidence of recurrence of the fistula, and the secondary outcome measure is the incidence of side effects of endoscopy."
17,"This clinical trial aims to improve the screening and early diagnosis of heart failure in high-risk patients. The study will compare usual care to an intervention group that will undergo early heart failure testing. Participants will be recruited through primary care electronic health records and sent invitation letters. Those who do not opt out will receive a patient information package and be randomized into either the usual care or intervention group. The intervention group will undergo NT-proBNP testing, and if elevated, will undergo further assessments including physical examination, electrocardiogram, and AI echocardiogram. The primary outcomes of the study include the number of participants diagnosed with heart failure, the number of outpatient heart failure visits, the number of urgent heart failure visits, and the number of heart failure hospitalizations. Secondary outcomes include the incidence of prescription for guideline-recommended heart failure therapies and heart failure events in patients with reduced ejection fraction. The study design is a randomized, un-blinded trial with parallel assignment."
18,"This clinical trial aims to evaluate the effects of propofol dosage based on lean body weight in patients with a body mass index (BMI) below 35. The study will include patients over the age of 18 who will undergo general anesthesia for 2-6 hours. Total body weight, ideal body weight, and lean body weight of the patients will be calculated, and propofol infusion will be started according to total body weight. The study will assess the relationship between the doses given and the BMI of the patients. The primary outcome measure is the ratio of propofol dose with sufficient depth of anesthesia according to total and lean body weight. The study design is observational, and routine anesthesia procedures will be applied to the patients."
19,"This clinical trial is an open-label study that aims to evaluate the efficacy and tolerability of oral letermovir for cytomegalovirus (CMV) prophylaxis in heart and lung transplant recipients. The study will compare subjects exposed to letermovir with those who received standard valganciclovir prophylaxis in the pre-intervention period. The primary outcome measures include CMV viral load and the proportion of days during which appropriately renally-dosed prophylaxis is administered. Secondary outcome measures include the frequency of acute cellular rejection, development of CMV resistance, development of neutropenia and severe thrombocytopenia, unplanned discontinuation of certain medications, and incorrect renal dosing. The study design is a prospective cohort with a single group assignment. Participants in the experimental arm will receive letermovir for up to 365 days."
20,"The PHYSIOSCORE questionnaire was developed and validated to assess the complexity level and physiotherapy care in hospitalized patients. The questionnaire consists of 106 items divided into three domains: respiratory, imaging, and neuromuscular. The validation process included a committee of physical therapists who classified and evaluated the items based on their importance and relevance. The questionnaire was then tested for interrater reliability using a cohort of 110 patients hospitalized for cardiac conditions. The final version of the PHYSIOSCORE was found to be reliable and valid for assessing physiotherapy care in hospitalized patients. The study also includes an intervention arm for assessing respiratory and neuromuscular variables in patients undergoing different ventilation methods. The primary outcome measures include respiratory variables such as lung function, breath sounds, and chest X-ray, as well as neuromuscular variables such as muscle strength and postural control."
21,"The SAVAL clinical trial aims to evaluate a selective adjuvant therapy approach for patients with HPV-mediated oropharynx squamous cell carcinomas (OPSCC) based on residual circulating tumor DNA (ctDNA) levels. Patients with p16+ OPSCC who are candidates for TransOral Robotic Surgery (TORS) will be enrolled in the trial. After TORS, patients will have ctDNA drawn within 2-14 days post-surgery. Based on ctDNA levels and pathological criteria, patients will be stratified into low risk, intermediate risk, and high risk groups. The low risk group will be observed without radiation, the intermediate risk group will also be observed without radiation, and the high risk group will receive adjuvant treatment (radiation with or without chemotherapy). The primary outcome measure is progression-free survival at 2 years post-treatment, and secondary outcome measures include rates of recurrence, salvage, locoregional recurrence, overall survival, freedom from distant metastases, xerostomia, dysphagia, PEG-tube rate, and rate of recurrence stratified by risk group and post-TORS ctDNA levels."
22,"This clinical trial is comparing ultra-hypofractionated whole breast irradiation (WBI) to partial breast irradiation (PBI) in the treatment of breast cancer in women. The study aims to assess the acute and late toxicity of the two radiotherapy regimens, as well as their effects on local-regional control, disease-free survival, overall survival, distant metastasis occurrence, cosmetic outcome, and quality of life. The trial will involve participants who have undergone breast-conserving surgery and meet specific inclusion criteria. The study design is randomized and participants will be assigned to either the WBI or PBI group."
23,"This clinical trial aims to explore the use of symptom monitoring and digital life coaching (DLC) to understand the impact of multiple myeloma on symptom burden, health self-efficacy, and overall well-being among a diverse U.S.-based sample. The study will evaluate the feasibility and preliminary outcomes of a DLC intervention for individuals with relapsed/refractory (R/R) multiple myeloma. Participants will be enrolled in a 3-month digital health coaching program and will receive a Fitbit device for activity tracking. The primary outcome measure is the feasibility of the DLC intervention, with a retention rate goal of 70%. Secondary outcome measures include changes in cancer behavior self-efficacy and perception of treatment experience."
24,"This clinical trial aims to explore the effect of a 4-week intervention using dried chicory root, known as WholeFiberTM, on patients with Inflammatory Bowel Disease (IBD). The study will assess the impact of the intervention on fecal calprotectin levels (a marker for gut inflammation), IBD complaints, quality of life, serum inflammatory markers, gut microbiota, and short-chain fatty acid (SCFA) levels. The trial will include 12 patients with mild to moderate IBD and will evaluate whether there is a difference in response between patients with Ulcerative Colitis (UC) and Crohn's Disease (CD). The study will also include questionnaires to assess the feasibility and acceptance of the intervention."
