id,summary
0,"Title: Psychological Layers of Nociplastic Pain: Cluster Analysis of The Role of Personality Traits, Defence Mechanisms, Central Sensitization, and Childhood Traumatic Experiences in Patients With Chronic Migraine, Fibromyalgia, and Vulvodynia

Objective: To identify psychosocial clusters specific to the onset and maintenance of fibromyalgia (FM), chronic migraine (CM), and vulvodynia (VU) based on variables such as personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences.

Participants: Women aged 18-65 with a diagnosis of FM, CM, or VU, and healthy control participants, all with more than 5 years of education and capable of understanding Italian. Exclusion criteria include severe psychiatric disorders, cognitive impairment, other chronic pain or neurological disorders.

Interventions: Participants will complete a protocol of self-report psychological questionnaires to assess defense mechanisms, personality traits, central sensitization, and traumatic experiences. The protocol includes a main part (approximately 25 minutes) and an optional part (additional 20 minutes).

Outcome Measures:
- Primary: Central Sensitivity Inventory, Traumatic Experiences Checklist, PID-5 Short form for personality traits, Defense Mechanism Rating Scales, Mental Pain Questionnaire, Highly Sensitive Person Scale.
- Secondary: Brief Symptom Inventory, SF-12 Quality of Life Assessment, Toronto Alexithymia Scale, Social Support Questionnaire, Sexual Satisfaction Scale, Short Form McGill Questionnaire adapted for genito-pelvic pain, Female Sexual Function Index.

Eligibility: Female, 18-65 years old, education > 5 years, specific diagnoses for FM, CM, VU, and controls without chronic pain conditions.

The study aims to understand the role of psychological factors in the experience of chronic pain conditions to develop tailored clinical interventions."
1,"The clinical trial, titled ""Comparison of the Pressure Ulcer Prevention Effects of Two Mattresses With Different Support Surfaces Used in Bedridden Patients,"" aims to investigate the effectiveness of two different types of mattresses in preventing pressure ulcers in bedridden patients. The study focuses on patients with a low risk of pressure ulcers according to the Braden Scale, who are above 18 years of age and have a BMI not exceeding 30. Both conscious patients who can consent voluntarily and unconscious or confused patients with guardian consent are eligible, provided they do not have existing pressure sores.

The intervention involves a randomized, parallel assignment design comparing a massage mattress with a cube/block system (Group I) against standard care with a viscoelastic pressure sore prevention mattress (Group II). The primary purpose is prevention, and the trial incorporates triple masking.

The key outcome measure is the number of patients who do not develop pressure ulcers over a four-week follow-up period. The efficacy of the massage mattress is assessed by its ability to prevent pressure ulcer formation through its massage feature and the adjustable cubes that reduce pressure in specific areas.

Patients with an odd number are assigned to Group I, while those with an even number are assigned to Group II. In both groups, patients' risk for pressure sores is assessed using the Braden Scale within the first six hours of admission, and the development of pressure ulcers is monitored daily using the Pressure Ulcer Observation Form. The trial excludes patients who change beds within ten days of inclusion, those who are referred to another facility, or those discharged early."
2,"This clinical trial investigates the effects of exercise with augmented reality (AR) glasses on metabolic parameters, anthropometric measurements, and quality of life in children aged 10-12 with Type 1 Diabetes Mellitus (T1DM). The trial aims to improve metabolic control and prevent complications such as osteopenia by making exercise more dynamic and engaging for the participants using AR glasses.

The official title of the study is ""The Effect of Exercise With Augmented Reality Glasses on Metabolic Parameters, Anthropometric Measurement Values and Quality of Life in Children Aged 10-12 With Type 1 Diabetes."" The conditions targeted are Type 1 diabetes, Metabolic Syndrome, and Nursing Caries. The intervention involves exercise sessions with AR glasses, conducted twice a week for 12 weeks, each lasting 60 minutes.

Eligible participants are children between 10-12 years old, diagnosed with T1DM at least six months prior and without other chronic diseases, psychiatric diagnoses, orthopedic problems, or disabilities. They must be able to read, write, and speak Turkish and reside in the province where the research is conducted. Children with parental consent will be included. Exclusion criteria are missing a workout session, developing complications during exercise, using another exercise method during the study, or not being able to provide necessary measurements.

The study design is randomized with a parallel assignment and quadruple masking. There are two groups: the experimental group using AR glasses for exercise and a control group with no intervention.

Primary outcome measures include changes in HbA1c levels, body mass index, and quality of life over the 12-week sessions. The quality of life is assessed using the PedsQL 3.0 scale, translating scores into points, with higher scores indicating better perceived health-related quality of life.

The study does not accept healthy volunteers and includes both male and female children. It is provided by the Centre Hospitalier Valida, focusing on children with Type 1 Diabetes, and aims to explore the potential benefits of AR glasses in improving the management of T1DM among the pediatric population."
3,"The clinical trial titled ""The Effect of Virtual Reality on Preoperative Anxiety Before Abdominal Surgery"" aims to assess the impact of virtual reality (VR) on anxiety levels in patients awaiting abdominal surgery. The study seeks to answer how common anxiety is before such surgeries and how VR can influence anxiety management.

Data will be collected using a Patient Information Form, the Visual Anxiety Scale (VAS-A), and a smart wristband with stress level measurement capabilities. The VAS-A is a numerical scale from 0 (no anxiety) to 100 (severe anxiety), and the smart wristband utilizes photoplethysmography to detect stress-related changes.

The trial will include 96 patients divided into three groups: an experimental group watching a VR video with virtual glasses, a placebo group watching a non-VR video, and a control group with no intervention. The primary outcome measures are preoperative anxiety levels assessed by the smart wristband and VAS-A before and after watching the video.

Eligible participants are adults aged 18 to 70 years who can communicate in Turkish, are scheduled for abdominal surgery, and have no contraindications such as vision problems or premedication. The study is randomized and open-label, with primary support care as its purpose. It will be conducted at the Trakya University Health Research Center General Surgery Clinic between March 1, 2023, and December 1, 2023."
4,"The clinical trial, titled ""Clinical Performance and Safety of Suture-TOOL for Abdominal Wound Closure in Men and Women Patients Undergoing Elective Open Abdominal Surgery,"" focuses on evaluating a device named Suture-TOOL intended for the closure of abdominal wounds post-laparotomy. The conditions addressed include Laparotomy, Incisional Hernia, and Wound Infection, related to the closure technique.

The study will enroll male and female patients aged 18 or older with a BMI between 18 - 40 kg/m^2, who are scheduled for elective open abdominal surgery for benign or malignant colorectal disease with an anticipated incision length of at least 12 cm. Excluded are individuals with various health conditions, previous midline abdominal surgery, allergies, or medication that could affect the trial's outcome, as well as pregnant or breastfeeding women, and anyone with limited comprehension or autonomy.

The study has a single-group, open-label design, focusing on prevention as its primary purpose. Participants in the experimental group will have their abdominal fascia closed using the Suture-TOOL device.

The primary outcome measure is the proportion of patients with a Suture length/Wound length (SL/WL) ratio greater than or equal to 4, which will be assessed during the laparotomy closure. Secondary outcomes include stitch count, number of sutures used, incision closure time, and surgeons' comfort and satisfaction with the device and the outcome of the closure, all measured during or immediately after the laparotomy closure."
5,"The Immune Biomarker Study for Salivary Gland Carcinoma aims to identify immune characteristics in patients with salivary gland tumors, both malignant and benign, as well as in a healthy control group with functional ear or nose diseases. The study involves the collection of specimens from the center of the tumor and the collection of blood, saliva, and stool samples for analysis. Participants must be at least 18 years old with a sufficient cognitive ability to understand the study and must not have distant metastasis, a second cancer, or a history of malignancy in the last 5 years (except for specific exclusions), drug or medication abuse, or barriers to compliance with study protocols.

The study includes three groups: one with an initial diagnosis of primary salivary gland carcinoma, the second with a benign salivary gland tumor, and the third being a healthy control group. Each group will undergo sampling for evaluation of immune characteristics through various analyses, including the established immune matrix, immunophenotyping, cytokine levels in peripheral blood, metabolic state, and microbiomic state using different techniques such as flow cytometry, mass spectrometry, and deep sequencing.

Primary outcome measures will track changes in the immune matrix, immune cell distribution and activation markers, cytokine expression, metabolic and microbiomic states, all assessed at baseline and periodically up to 5 years. This comprehensive approach is intended to characterize the immune landscape of salivary gland carcinoma patients and potentially inform future therapies and diagnostics."
6,"This clinical trial aims to investigate the adherence to the Mediterranean diet among multiple sclerosis (MS) patients, along with its effects on walking, physical activity, and quality of life. The study focuses on individuals aged 18 to 65 who have been diagnosed with MS. Pregnant or postpartum women, those with active infections, other physical activity-limiting diseases, or those requiring special diets are excluded. The primary outcome measures include compliance with the Mediterranean diet using the PREDIMED scale, quality of life measured by the Multiple Sclerosis International Quality of Life Scale, gait impact assessed by the 12-item MS Gait Scale, and disability status using the Expanded Disability Status Scale (EDSS). The study will be conducted over a year, with walking and quality of life measurements taken at 1 and 2 months, respectively. This research is crucial for understanding the potential benefits of the Mediterranean diet in managing MS symptoms and improving patients' overall well-being."
7,"The SIIT-CD Study is a multicenter, prospective, randomized, controlled trial that aims to evaluate the efficacy and safety of Selective Intensive Induction Therapy (SIIT) based on ustekinumab clinical decision-making tools in patients with Crohn's Disease (CD). 

The trial focuses on patients diagnosed with CD who are experiencing an active phase of the disease. The study includes adults aged 18 to 75 years who meet specific eligibility criteria, excluding those with major surgeries such as colectomy, ileostomy, or colostomy, significant organ diseases, fibrous stenosis, and contraindications to ustekinumab.

The study has a primary purpose of treatment and utilizes a randomized parallel assignment intervention model without masking (open label). Participants are divided into two groups: the experimental SIIT group receiving selective intensive induction therapy with ustekinumab at weeks 0 and 8, and a control group receiving no intensive induction therapy.

The primary outcome measure is the difference in clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen. This trial does not accept healthy volunteers and includes both sexes within the eligible age range."
8,"The clinical trial titled ""The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment"" focuses on understanding therapy preferences in patients with Overactive Bladder (OAB) from diverse cultural and linguistic backgrounds. The intervention involves participants completing questionnaires to evaluate their choices between two hypothetical therapies with different characteristics related to Botox (Onabotulinum Toxin A) and Sacral Neuromodulation (SNM). The main eligibility criteria include adults with OAB, excluding those who have previously received SNM or Botox treatments. The study accepts participants aged 18 and older of any sex, but not healthy volunteers. The primary outcome measure is the selection made by the patients in the discrete choice questionnaire, which aims to capture their preferences between the two therapy options, assessed within a one-hour time frame."
9,"This clinical trial is a three-arm pragmatic randomized control study (PrCT) designed to evaluate the effectiveness, feasibility, acceptability, and cost of using Continuous Glucose Monitoring (CGM) devices among people living with Type 1 Diabetes in South Africa. The study has a duration of 15 months and includes people with Type 1 Diabetes who meet specific inclusion criteria, such as having HbA1c levels ≥10% within the last 3 months. The study excludes individuals under 4 years old, those diagnosed with Type 1 Diabetes within the last 2 years, prior CGM users, and pregnant women, among others.

Participants are divided into three groups:
- Arm 1: Continuous use of CGM for 9 months.
- Arm 2: Intermittent use of CGM at 4 time points, each consisting of 2 weeks, over 9 months.
- Arm 3: Standard of care with regular self-monitoring of blood glucose (SMBG) for 9 months.

The primary outcome measure is the impact of CGM on HbA1c levels compared to standard care. Secondary outcomes include the variability of blood glucose levels (CV, TIR, TBR, TAR), unplanned medical visits due to diabetes complications, quality of life for patients and caregivers, acceptability and feasibility from various perspectives, and cost analysis.

The study will also use qualitative methods, such as focus group discussions (FGDs) with participants, caregivers, and semi-structured interviews (SSIs) with healthcare workers, to gather in-depth insights into the use of CGMs in real-world settings. The aim is to inform policy and decision-makers about the potential benefits of CGM use in South Africa."
