id,summary
0,"Љ Љ
.
Љ
Љ
Љ
Љ
Љ
. 






....
Љ
Љ
Љ
Љ
Љ
Љ
Љ
Љ
Љ


























..Љ
Љ
Љ
Љ.Љ
Љ.ЉЉ
ЉЉ.ЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉ.Љ.ЉЉЉЉЉ.Љ 

...
Љ
.









..ЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉ
















Љ
.
Љ Љ Љ ЉЉЉ.ЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉ.


















.
...ЉЉ..."
1,"This study compares the pressure ulcer prevention effects of two mattresses with different support surfaces used in bedridden patients. The study includes 100 patients who are randomly assigned to either an experimental group (massage mattress with cube/block system) or a control group (standard of care). The primary outcome measure is the number of patients without pressure ulcers at the end of four weeks.

Please provide a clear, concise, and accurate summary of the provided clinical trial document."
2,"The study aims to investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with type 1 diabetes. The study is designed as a randomized controlled trial with two arms: an experimental group that will receive exercise with augmented reality glasses, and a control group that will not receive any intervention. The study will be conducted over 12 weeks, with measurements taken at baseline, mid-intervention, and post-intervention. The primary outcome measures will include changes in HbA1c levels, body mass index, and quality of life scores. The study will enroll 40 children in each group, and the results will be analyzed using linear mixed models. The study will provide valuable insights into the effectiveness of exercise with augmented reality glasses in improving metabolic control and quality of life in children with type 1 diabetes."
3,"The study aims to evaluate the effect of virtual reality on preoperative anxiety before abdominal surgery. The study will be conducted on 96 patients, randomly assigned to one of three groups: experimental (virtual reality), placebo (watching the same video without virtual reality), or control (no intervention). The primary outcome measures will be the preoperative anxiety level, measured using the VAS-A scale and the smart bracelet, before and after watching the video. The study will be conducted at the Trakya University Health Research Center General Surgery Clinic between March 1, 2023, and December 1, 2023."
4,"The study is a single-arm, prospective, interventional study to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery. The study will enroll 100 participants and will measure the proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4, stitch count, numbers of sutures used, incision closure time, surgeons' comfort with device during closure, and surgeons' satisfaction with final closure result.

The study will be conducted at a single center and will be led by a principal investigator. The study will be conducted in accordance with the International Conference on Harmonisation (ICH) Good Clinical Practice (GCP) guidelines and the applicable regulatory requirements.

The study will be open-label, meaning that both the participants and the investigators will be aware of the intervention being tested. The study will be conducted over a period of 12 months, and the data will be analyzed using descriptive statistics and inferential statistics.

The primary outcome measure will be the proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4, which will be measured during laparotomy closure. The secondary outcome measures will include stitch count, numbers of sutures used, incision closure time, surgeons' comfort with device during closure, and surgeons' satisfaction with final closure result.

The study will enroll men and women patients who are undergoing elective open abdominal surgery for benign or malignant colorectal disease. The inclusion criteria will include informed consent, age ≥ 18 years, surgery through midline incision, anticipated incision length ≥ 12 cm, BMI 18-40 kg/m2, full comprehension, and no significant medical history or physical findings that could interfere with the study procedures. The exclusion criteria will include previous abdominal surgery involving the midline, clinically significant abnormal physical findings, existing midline hernia, cutaneous infection, fistula, psoriasis of abdominal skin, morbid obesity, or any other condition that could interfere with the study procedures"
5,"This is a clinical trial that aims to evaluate the immune characteristics of patients with primary salivary gland carcinoma in the head and neck region. The study will assess the changes in the immune matrix, immune cell composition, and cytokine expression in the peripheral blood of patients over time. Additionally, the study will examine the patient's metabolic and microbiomic state. The study will enroll patients with primary salivary gland carcinoma, benign salivary gland tumors, and healthy controls. The study will be conducted over a period of up to 5 years.

Please provide a clear and concise summary of the provided clinical trial document."
6,"The study aims to determine the compliance of individuals with the Mediterranean diet, the use of various nutritional supplements, physical activity habits, walking-related problems, and quality of life in multiple sclerosis (MS) patients. The study will evaluate the relationship between these parameters and determine if there is a significant relationship between them. The study will use the 14-item Mediterranean Diet Adaptation Scale (PREDIMED), Multiple Sclerosis International Quality of Life Scale, 12-item MS Gait Scale, and Expanded Disability Status Scale (EDSS) to measure the outcomes. The study will be conducted over a period of 1 year and will include individuals between the ages of 18-65 who have been diagnosed with MS."
7,"This is a multicenter, prospective, randomized, controlled study to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study will enroll 120 patients and will be conducted at multiple sites. Participants will be randomly assigned to either the experimental group (receiving selective intensive induction therapy) or the control group (receiving standard induction therapy). The primary outcome measure is the difference in clinical response rate at week 24 between the two groups.

Please provide a clear and concise summary of the provided clinical trial document."
8,"This study aims to assess the preferences of a culturally and linguistically diverse (CALD) population for second-line overactive bladder (OAB) therapy using a discrete choice experiment. The study will enroll adult patients with OAB and will evaluate the preferences of participants in choosing between two fictive therapies, each with its own botulinum toxin A and sacral neuromodulation (SNM) characteristics. The primary outcome measure is the discrete choice questionnaire, which will be completed by patients within 1 hour.

Please provide a clear, concise, and accurate summary of the provided clinical trial document."
9,
10,"This is a single-group assignment, open-label, non-randomized clinical trial that aims to evaluate the safety and efficacy of SBRT with focal dose escalation on dominant lesion in localized prostate cancer. The study will enroll 30 participants who will receive SBRT with focal dose escalation on the dominant lesion identified by mpMRI. The primary outcome measures are biochemical progression-free survival, local control, and patient-reported outcomes and quality of life assessment. The study will be conducted over a period of 2 years, and the data will be analyzed using descriptive statistics and Kaplan-Meier method.

Please provide a clear and concise summary of the provided clinical trial document."
11,"This study aims to evaluate the effectiveness of a serious game (SG) in improving the quality of life and motor skills of children with asthma. The SG is a running game that requires the child to perform physical exercises to overcome obstacles. The study will compare the results of the SG group with the standard treatment plan group. The primary outcome measures are the Pediatric Quality of Life Inventory (PedsQL) and the Skills and Difficulties Questionnaire (SDQ-Ita) at 6 months. The secondary outcome measures are the Conserved Transcriptional Response to Adversity (CTRA) and the PedsQL at 6 months.

Please provide a clear and concise summary of the provided clinical trial document."
12,",



















,
,







































 to
 to
-
-
-
-
-
-
-


































































































































  the   

.
Љ .
Љ Љ
Љ
ЉЉЉЉЉЉЉЉЉЉЉЉ.Љ
Љ
Љ
Љ
Љ
Љ
Љ
Љ
.




















 



Љ
ЉЉ
Љ
Љ.Љ
Љ
ЉЉ..
.






































Љ
Љ
Љ
Љ
Љ
Љ
Љ
Љ
Љ


 











 
 

Љ
Љ
Љ
Љ.Љ.ЉЉЉЉЉЉ.Љ.ЉЉЉЉ.Љ
Љ




            
 Љ Љ
ЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉЉ"
13,"This clinical trial aims to evaluate the effectiveness of a standardized/structured CPAP weaning protocol in preterm infants to support lung growth. The study will enroll infants born at < 30 weeks gestational age and will randomize them to either the standardized NIS wean group or the control group (non-standardized wean). The primary outcome measure is the number of participants with CPAP/NIS weaning failure, and secondary outcome measures include length of hospital stay, rate of bronchopulmonary dysplasia, use of postnatal steroids, and more. The study will run for an average of 4 months and will assess the effectiveness of the standardized/structured CPAP weaning protocol in supporting lung growth in preterm infants."
14,"This is a randomized, double-blind, phase 3 study to evaluate the efficacy and safety of frexalimab in adults with nonrelapsing secondary progressive multiple sclerosis. The study will measure the time to onset of composite confirmed disability progression (cCDP) confirmed over 6 months, and secondary outcome measures include time to onset of composite cCDP confirmed over 3 months, time to onset of individual components of the composite, confirmed over 3-months or 6-months, time to onset of confirmed disability improvement (CDI), number of new and/or enlarging T2hyperintense lesions per scan as detected by MRI, and number of new and/or enlarging T2-hyperintense lesions per month, percent change in brain volume loss as detected by MRI scans at the end of study (EOS) compared to Month 6, change from baseline in multiple sclerosis impact scale 29 version 2 (MSIS-29v2) questionnaire scores over time, change from baseline in patient reported outcome measurement information system (PROMIS) Fatigue multiple sclerosis (MS)-8a over time, annualized relapse rate during the study period assessed by protocol defined adjudicated relapses, number of participants with adverse events, SAEs, AEs leading to permanent study intervention discontinuation and AE of special interests (AESIs), number of participants with potentially clinically significant abnormalities (PCSAs) in laboratory tests, ECG, and vital signs during the study period, number of participants with antibody over time, change from baseline in serum Ig levels over time, change from baseline in plasma neurofilament light chain (NfL) levels over time, and frexalimab plasma concentration over time.

Note: The output is a summary of the provided clinical trial document, it does not include any external links or references to the original document."
