id,summary
0,"<|assistant|>
The aim of the study is to highlight possible psychosocial clusters of variables that are specific to the onset and maintenance for each condition (FM, CM, and VU). Specifically, the observation of possible clusters will be made based on variables such as personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences. The hypothesis is that specific psychological factors (clusters of high number of early traumatic events, high levels of central sensitization, and specific traits and defense mechanisms) characterize FM, CM, and VU groups compared to controls.
The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis).
The main part of the protocol includes the following questionnaires:
Central Sensitivity Inventory (CSI)
Traumatic Experiences Checklist (TEC)
Personality traits (PID-5)
Defense Mechanisms (DMRS-SR-30)
Mental pain (Mental Pain Questionnaire)
Environmental sensitivity (Highly Sensitive Person Scale)
The optional part of the protocol includes the following questionnaires:
Psychological symptoms of depression, anxiety and psychosomatics (Brief Symptom Inventory)
Physical and Psychological Quality of life index (SF-12)
Alexithymic traits (Toronto Alexithymia Scale)
Perceived Social Support (SPQ)
Sexual Satisfaction (SSS)
Sexual Functioning (FSFI)
gentipolvic pain (SF-MGQ)
The study will involve the recruitment of 100 women diagnosed with FM, 100 women diagnosed with CM, 100 women diagnosed with VU, and 100 women from the general population with no chronic pain condition.
The study will be conducted in the clinical department of the University of Padua."
1,"<|assistant|>
Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The incidence of pressure ulcers in patients with spinal cord injuries is 10-20%. Pressure ulcers are a major health problem in the hospital setting. The incidence of pressure ulcers is high in patients with spinal cord injuries, and the incidence of pressure ulcers in patients with spinal cord injuries is higher than in other patients. The inc"
2,"<|assistant|>
Type 1 Diabetes Mellitus (T1DM) is a chronic metabolic disease characterized by insulin deficiency. T1DM is one of the most common chronic diseases in childhood. In the 10th Diabetes Atlas (2021) data of the International Diabetes Association (IDF), it is stated that the population of children aged 19 and under is 2.61 billion in the world, approximately 1.2 million of these children have T1DM, and there are approximately 150 thousand new children diagnosed with T1DM every year in the world. In the same report, it was stated that there are approximately 26 thousand children aged 19 and under with T1DM in Turkey. T1DM, whose treatment and management is complex, causes both children and their parents to encounter many problems. These problems cause deterioration in quality of life and perceived well-being in children with T1DM. The problems experienced in this direction, adaptation problems and decreased quality of life lead to deterioration of metabolic control in children with T1DM. Children with T1DM who cannot adapt to their disease may have acute and chronic complications that lead to deterioration of metabolic control. One of the most important complications seen in children with T1DM is osteopenia, which tends to increase gradually. Proper nutrition, physical activity, insulin therapy and follow-up of complications have an important place in preventing complications that may develop in children with T1DM, ensuring metabolic control and increasing their quality of life. Exercise in T1DM; reducing the need for insulin and increasing its effect, providing blood glucose control, increasing muscle strength, providing weight control, increasing body fat and muscle mass, increasing body fluid ratio, increasing bone mineralization, positively affecting the cardiovascular system, reducing blood fats, increasing self-conditioning, It provides many benefits such as increasing confidence and reducing stress. Despite the numerous benefits of exercise, studies have shown that children with T1DM do not exercise regularly and do not want to do traditional (walking, running, cycling, swimming, etc.) exercises. In this direction, exercise that requires continuity in diabetes management can be made dynamic for children with T1DM by using different approaches. For this reason, it is thought that structured exercise with"
3,"<|assistant|>
The aim of this study is to determine the effect of virtual reality on anxiety management in the preoperative period in patients who will undergo abdominal surgery. The study will be conducted in the General Surgery Clinic of Trakya University Health Research Center. The sample of the study will consist of 96 patients who will undergo abdominal surgery. The study will be conducted in two groups; intervention group and control group. The intervention group will watch a virtual reality video with mobile virtual glasses by the researcher (SŞ) and the stress level on the smart wristband will be recorded. In addition, necessary variables will be recorded with the data collection form. The placebo group will watch the plain version of the video, which was shown to the intervention group by the researcher (SŞ) to the placebo group, over the phone with the naked eye and the stress level on the smart bracelet will be recorded. In addition, necessary variables will be recorded with the data collection form. The control group will be the group that will not be interfered with. The anxiety level of the patients in the preoperative period will be measured with the VAS-A scale and the stress level will be measured with the smart wristband. The data will be analyzed using the SPSS 25.0 program."
4,"<|assistant|>
The aim of this study is to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery.
The study is a single arm prospective interventional study.
The study will be conducted in a single center.
The study population will consist of patients undergoing elective open abdominal surgery for benign or malignant colorectal disease through midline incision.
The primary outcome is the proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4.
Secondary outcomes are: stitch count, numbers of sutures used, incision closure time, surgeons´ comfort with device during closure, surgeons´ satisfaction with final closure result.
The study will be conducted in accordance with the principles of the Declaration of Helsinki and the International Conference on Harmonization Guidelines for Good Clinical Practice."
5,"<|assistant|>
The aim of this study is to investigate the immune profile of patients with salivary gland carcinoma. The study will be conducted as a prospective, observational, single-center study. The study will include patients with primary salivary gland carcinoma and benign salivary gland tumors as well as patients with functional diseases of the nose or ear (patients with the indication for functional ear surgery and rhinoplasty) without salivary gland tumor.
The study will include the following groups:
Group 1: Patients with primary salivary gland carcinoma
Group 2: Patients with benign salivary gland tumors
Group 3: Patients with functional diseases of the nose or ear (patients with the indication for functional ear surgery and rhinoplasty) without salivary gland tumor
The study will include the following parameters:
Primary parameters:
- Immune matrix of patients assessed by liquid immune profile-based signature (LIPS) (acc. Zhou et al. Journal for ImmunoTherapy of Cancer (JITC), 2021) and Tumour Associated Lymphocytes (TAL).
Secondary parameters:
- Longitudinal immunophenotyping of the patients: Detection of about 30 distinct immune cell (sub)types together with their activation markers during study period
- Analysis of cytokines in peripheral blood and their change at certain points in the course of treatment
- Analysis of patient's metabolic state
- Analysis of patient's microbiomic state by examination of saliva, tumor and stool
The study will be conducted in the following steps:
Step 1: Collection of blood, saliva and stool samples from patients with primary salivary gland carcinoma, benign salivary gland tumors and patients with functional diseases of the nose or ear (patients with the indication for functional ear surgery and rhinoplasty) without salivary gland tumor.
Step 2: Analysis of the samples.
The study will be conducted in the following time period:
The study will be conducted from the time of the first patient's inclusion until the end of the study period, up to 5 years."
6,"<|assistant|>
The Mediterranean diet is a nutritional model that is universally thought to improve health, and it is known that the Mediterranean diet has beneficial effects in the prevention and treatment of chronic diseases. The Mediterranean diet is rich in foods containing monounsaturated fat (especially omega-3), antioxidant vitamins and minerals (vitamins A, C, E, folic acid, selenium, zinc, calcium), which are thought to have positive effects on the prevention and course of MS. Preferring vegetable oils instead of animal fats in Mediterranean type diet, preferring fish instead of red meat consumption, preferring low-fat / fat-free milk and dairy products, limiting the intake of simple sugar and refined carbohydrates, increasing the consumption of fruits and vegetables rich in pulp and antioxidants. It is thought that this type of nutrition may positively affect the course and treatment of immune diseases by reducing inflammation. Although there is no effective clinical evidence for the application of nutritional support as complementary therapy in MS patients, it is known that patients often use various nutritional supplements to reduce symptoms that negatively affect their quality of life. It is also important to determine the frequency of current nutritional support use in order to prevent unconscious use of nutritional support in the group. Because the most common symptoms of MS are muscle weakness, individuals with MS are often less physically active than age-matched adults All these negativities result in decreased functional activities, loss of mobility and balance problems. Walking and, in a broader sense, mobility are functions that are frequently affected in MS and have a high negative impact on quality of life. Gait problems are not uncommon in MS, and it is reported that a significant portion of individuals in this group are adversely affected by their daily living activities. The aim of this study is to determine compliance with the Mediterranean diet, the tendency to use various nutritional supplements, physical activity habits, walking-related problems and quality of life in MS patients and to evaluate whether there is a significant relationship between these parameters."
7,"<|assistant|>
Crohn's disease (CD) is a chronic inflammatory disease of the gastrointestinal tract. The incidence of CD in China is increasing year by year, and the incidence of CD in the world is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year by year, and the incidence of CD in China is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year by year, and the incidence of CD in China is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year by year, and the incidence of CD in China is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year by year, and the incidence of CD in China is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year by year, and the incidence of CD in China is also increasing year by year. The incidence of CD in China is 1.2-1.6/100,000, and the incidence of CD in the world is 10.8/100,000. The incidence of CD in the world is increasing year"
8,"<|assistant|>
Overactive bladder (OAB) is a common condition in which the bladder muscle contracts involuntarily, causing a sudden urge to urinate. OAB is a chronic condition that can be debilitating and negatively impact quality of life. There are several treatment options for OAB, including behavioral therapy, medications, and surgery. However, there is no one-size-fits-all approach to OAB treatment, and the optimal treatment for an individual patient depends on a variety of factors.
One factor that can influence treatment choice is the patient's cultural and linguistic background. Patients from diverse backgrounds may have different preferences and values when it comes to treatment options. For example, some patients may prefer a treatment that is less invasive or has fewer side effects, while others may prioritize effectiveness or convenience.
To address this issue, the investigators will conduct a discrete choice experiment (DCE) to assess the preferences of a diverse group of OAB patients for different treatment options. The DCE will involve asking patients to choose between two hypothetical treatment options, each with different characteristics. The investigators will use the results of the DCE to develop a decision aid that can help patients make informed choices about OAB treatment.
The investigators will also conduct a qualitative study to explore the experiences of OAB patients from diverse backgrounds. The qualitative study will involve in-depth interviews with patients to understand their experiences with OAB and their preferences for treatment options.
The results of this study will help to develop a more patient-centered approach to OAB treatment, taking into account the diverse needs and preferences of patients from different backgrounds."
9,"<|assistant|>
The study aims to generate evidence to inform policy and decision makers on the potential benefits of use of Continuous Glucose Monitoring (CGM) devices in South Africa. The study will be conducted in three public sector clinics in the Western Cape Province of South Africa. The study will be a three-arm pragmatic randomized controlled study (RCT) with a total of 120 participants. Participants will be randomized to one of three arms: Arm 1: use of CGM in a continuous manner from enrolment to the end of intervention period Arm 2: intermittent use of CGM (use for 2 weeks once every three months) from enrolment to the end of intervention period Arm 3 (control): standard of care. The study will be conducted over a period of 15 months. The primary outcome will be HbA1c levels at the end of the study. Secondary outcomes will include: 1) the variability of blood glucose concentrations related to diabetes, 2) unplanned visits to outpatient clinics and/or hospital related to diabetes complications, 3) quality of life of recipients of diabetes care and their caregivers (where applicable), and 4) cost of continuous and intermittent CGM use from a user and provider perspective. The study will also explore the acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and caregivers perspective."
