id,summary
0,"<|assistant|>
The investigators have already pointed out separately for the three pathological conditions (chronic migraine, fibromyalgia, and vulvodynia) that there is evidence that factors such as personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences may contribute significantly to the genesis of these disorders through a process of central sensitization of pain pathways. Central sensitization (CS) is defined as increased responsiveness of nociceptive neurons in the central nervous system to their normal or subthreshold afferent input according to the IASP - International Association for the Study of Pain (Arendt-Nielsen et al., 2018). A sensitized nervous system has been considered one of the most important mechanisms involved in NP (Cohen, 2022). CS plays a role in fibromyalgia, in which alteration of central nociceptive processing occurs and pain can be worsened by psychological factors (Sluka & Clauw, 2016). In migraine, CS may contribute to acute allodynia and headache chronification (De Tommaso & Sciruicchio, 2016). Furthermore, in migraine CS may play a role in trigeminal nerve activation and cortical spreading depression (De Tommaso & Sciruicchio, 2016). It has been suggested that migraine may be considered as a brain state of altered excitability and a disorder of sensory processing (Goadsby et al., 2017), encompassing additional symptoms as fatigue and mood disorders (Karsan & Goadsby, 2021). Structural and functional MRI studies in women with provoked vulvar or distant/extra- genital pain have supported a role of central sensitization and dysregulation of endogenous pain modulatory systems in the central nervous system in the pathophysiology of vulvodynia (Bergeron et al., 2020). In the process of central sensitization, psychological factors such as traumatic events in childhood, the development of specific personality expressions (traits), and the use of different forms of defense mechanisms also play a role. No study to our knowledge has yet tried to identify specific clusters of psychological factors (personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences) capable of characterizing or differentiating between the different pathologies expressed by a NP. In addition to this, the study of psychosocial factors associated with the experience of such pathologies or possible emerging clusters such as depression, anxiety, somatization, quality of life, alexithymia, social support, sexual satisfaction, and functioning. This will make it possible to identify specifically for each condition the areas of greatest interest that can be investigated and treated in clinical intervention tailored to the person."
1,"<|assistant|>
The purpose of this study is to compare the pressure ulcer prevention effects of two different mattresses with different support surfaces used in bedridden patients. The study will be conducted in the intensive care unit of the hospital. The study will be conducted with a randomized controlled design. The study will be conducted with 100 patients who are bedridden and at risk of developing pressure ulcers. The patients will be divided into two groups. The first group will be given a massage mattress with a cube/block system, and the second group will be given a standard mattress. The patients will be followed up for four weeks. The pressure ulcer prevention effects of the two mattresses will be compared."
2,"<|assistant|>
The purpose of this study is to investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values and quality of life in children aged 10-12 with type 1 diabetes.
In the study, 30 children with type 1 diabetes aged 10-12 will be included. The children will be divided into two groups as the augmented reality glasses group and the control group. The augmented reality glasses group will exercise with augmented reality glasses for 12 weeks, while the control group will not receive any intervention.
The study will be conducted for 12 weeks. The children will be evaluated before, during and after exercise and during the control session. The primary outcome measures of the study are HbA1c levels, body mass index and quality of life.
The study will be conducted in accordance with the principles of the Declaration of Helsinki and the study protocol will be approved by the Ethics Committee of the Faculty of Health Sciences, Ankara University."
3,"<|assistant|>
The purpose of this study is to evaluate the effect of virtual reality on anxiety management before abdominal surgery. The study will be conducted with a total of 96 patients who will undergo abdominal surgery in the Trakya University Health Research Center General Surgery Clinic. The study will be conducted in two stages. In the first stage, the preoperative anxiety level of the patients will be measured with the VAS-A scale and the stress level will be measured with the smart wristband. In the second stage, the patients will be divided into three groups as the intervention group, the placebo group and the control group. The intervention group will watch a virtual reality video with mobile virtual glasses by the researcher (SŞ) and the stress level on the smart wristband will be recorded. In addition, necessary variables will be recorded with the data collection form. The placebo group will watch the plain version of the video, which was shown to the intervention group by the researcher (SŞ) over the phone with the naked eye and the stress level on the smart bracelet will be recorded. In addition, necessary variables will be recorded with the data collection form. The control group will not receive any intervention. The preoperative anxiety level of the patients will be measured with the VAS-A scale and the stress level will be measured with the smart wristband. The data will be analyzed using the SPSS 23.0 program."
4,"<|assistant|>
The purpose of this study is to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery. The study will be conducted as a single arm prospective interventional study.
The study will include 100 patients who will be treated with Suture-TOOL for closure of the abdomen after laparotomy. The primary outcome measure is the proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4. Secondary outcome measures include stitch count, numbers of sutures used, incision closure time, surgeons' comfort with device during closure, and surgeons' satisfaction with final closure result.
The study will be conducted in accordance with the Declaration of Helsinki and Good Clinical Practice (GCP) guidelines."
5,"<|assistant|>
The purpose of this study is to investigate the immune characteristics of patients with salivary gland carcinoma. The study will include patients with primary salivary gland carcinoma, benign salivary gland tumors, and healthy controls. The study will collect blood, saliva, and stool samples from the patients and healthy controls. The study will also collect tumor tissue samples from the patients with salivary gland carcinoma. The study will analyze the immune characteristics of the patients and healthy controls using various methods, including flow cytometry, mass spectrometry, and 16S rRNA deep sequencing. The study will also analyze the metabolic state of the patients and healthy controls using mass spectrometry. The study will compare the immune characteristics of the patients with salivary gland carcinoma to the immune characteristics of the patients with benign salivary gland tumors and healthy controls. The study will also compare the immune characteristics of the patients with salivary gland carcinoma to the metabolic state of the patients and healthy controls. The study will use the results to develop a new diagnostic test for salivary gland carcinoma."
6,"<|assistant|>
The Mediterranean diet is a nutritional model that is universally thought to improve health, and it is known that the Mediterranean diet has beneficial effects in the prevention and treatment of chronic diseases. The major difference between the Mediterranean diet and the Western-style diet is the source and amount of dietary fat and carbohydrates. The Mediterranean diet is rich in foods containing monounsaturated fat (especially omega-3), antioxidant vitamins and minerals (vitamins A, C, E, folic acid, selenium, zinc, calcium), which are thought to have positive effects on the prevention and course of MS. Preferring vegetable oils instead of animal fats in Mediterranean type diet, preferring fish instead of red meat consumption, preferring low-fat / fat-free milk and dairy products, limiting the intake of simple sugar and refined carbohydrates, increasing the consumption of fruits and vegetables rich in pulp and antioxidants. It is thought that this type of nutrition may positively affect the course and treatment of immune diseases by reducing inflammation. Although there is no effective clinical evidence for the application of nutritional support as complementary therapy in MS patients, it is known that patients often use various nutritional supplements to reduce symptoms that negatively affect their quality of life. It is also important to determine the frequency of current nutritional support use in order to prevent unconscious use of nutritional support in the group. Because the most common symptoms of MS are muscle weakness, individuals with MS are often less physically active than age-matched adults All these negativities result in decreased functional activities, loss of mobility and balance problems. Walking and, in a broader sense, mobility are functions that are frequently affected in MS and have a high negative impact on quality of life. Gait problems are not uncommon in MS, and it is reported that a significant portion of individuals in this group are adversely affected by their daily living activities. The aim of this study is to determine compliance with the Mediterranean diet, the tendency to use various nutritional supplements, physical activity habits, walking-related problems and quality of life in MS patients and to evaluate whether there is a significant relationship between these parameters."
7,"<|assistant|>
The purpose of this study is to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with moderate and low responsive activity of Crohn's disease.
Inclusion criteria:
1. Diagnosed with CD;
2. Active period;
3. Age 18-75 years old;
4. UST-CDST scores were used to treat patients with moderate and low responsive activity.

Exclusion criteria:
1. Subjects had undergone extensive colectomy, subtotal colectomy, or total colectomy;
2. The subject currently has ileostomy and colostomy;
3. Patients with significant liver, kidney, endocrine, respiratory, neurological or cardiovascular diseases;
4. Patients with fibrous stenosis and prestenosis dilatation;
5. Contraindications of UST as documented in other specifications.

The study is a multicenter, prospective, randomized, controlled study. The study will be divided into two groups: the intensive induction regimen group and the standard induction regimen group. The intensive induction regimen group will receive selective intensive induction therapy based on ustekinumab clinical decision-making tools, while the standard induction regimen group will receive standard induction therapy. The primary outcome measure is the difference in clinical response rate at week 24 between the two groups."
8,"<|assistant|>
Overactive bladder (OAB) is a common condition in the general population. The prevalence of OAB is higher in women and in the elderly. The prevalence of OAB is also higher in the CALD population. The treatment of OAB is often challenging and the treatment options are limited. The first line treatment is anticholinergic medication. If this is not effective, the second line treatment options are onabotulinum toxin A (Botox) and sacral neuromodulation (SNM). The aim of this study is to investigate the preference of a CALD population for second line OAB therapy. A discrete choice experiment (DCE) will be used to investigate the preference of a CALD population for second line OAB therapy. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The DCE will consist of 10 questions. Each question will consist of two options. The options will be a combination of Botox and SNM characteristics. The patients will be asked to choose between the two options. The DCE will be conducted in a group of 100 patients with OAB. The D"
9,"<|assistant|>
The purpose of this study is to evaluate the effectiveness, feasibility, acceptability, and cost of the use of continuous glucose monitoring (CGM) devices among people living with type 1 diabetes in South Africa. The study will be conducted in three study clinics in the Western Cape, South Africa. The study will be a three-arm pragmatic randomized controlled study. The study will include 150 participants who will be randomized to one of three study arms: continuous use of CGM, intermittent use of CGM, and standard of care. The study will be conducted over a period of 15 months. The primary outcome measure will be the change in HbA1c levels before and after treatment in standard of care, continuous, and intermittent CGM arms. Secondary outcome measures will include the variability of blood glucose concentrations related to diabetes, unplanned visits to outpatient clinics and/or hospital related to diabetes complications, quality of life of recipients of diabetes care and their caregivers (where applicable), acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and care givers perspective, and cost of continuous and intermittent CGM use from a user and provider perspective."
