id,summary
0,"1. The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis).
2. The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis).
3. The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis).
4. The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis).
5. The study involves the administration of a protocol of self-report questionnaires consisting of two parts: the main (about 25 minutes for the administration) and the optional one (additional 20 minutes). This decision stems from the realization of the length of the protocol, to increase the collection of data in pursuit of the main objective of the study (cluster analysis)."
1,
2,"The aim of this study is to investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values and quality of life in children with type 1 diabetes."
3,The aim of this study is to evaluate the effect of virtual reality on anxiety management before abdominal surgery.
4,"The purpose of this study is to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women patients undergoing elective open abdominal surgery.


Study Design
=================
Purpose:: Prevention
Allocation:: Non-Randomized
Intervention Model:: Single Group Assignment
Masking:: None (Open Label)


Arms and Interventions

| Participant Group/Arm | Intervention/Treatment |
| --- | --- |
| Experimental: Single arm<br>Closure of the abdomen after laparotomy with Suture-TOOL. | Device: Suture-TOOL<br>* Suture device for fast and standardized closure of the abdominal fascia<br>|

What is the study measuring?
-----------------
Primary Outcome Measures

| Outcome Measure | Measure Description | Time Frame |
| --- | --- | --- |
| Proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4 | SL/WL-ratio of patients laparotomy closures will be calculated by measuring (centimeter) and dividing the length of used suture with the length of the laparotomy wound. | Measured during laparotomy closure. | 

Secondary Outcome Measures

| Outcome Measure | Measure Description | Time Frame |
| --- | --- | --- |
| Stitch count | Number of stitches used for laparotomy closure | Measured during laparotomy closure | 
| Numbers of sutures used |  | Counted during laparotomy closure | 
| Incision closure time | Time (seconds) from first to last knot during laparotomy closure | Measured during laparotomy closure | 
| Surgeons´ comfort with device during closure | VAS assessment | After laparotomy closure | 
| Surgeons´ satisfaction with final closure result | VAS assessment | After laparotomy closure | 

 Terms related to the study
=================
Keywords Provided by Centre Hospitalier Valida
-----------------
Suture-TOOL, Abdominal wound closure, Laparotomy, Incisional hernia, Wound infection, Closure technique"
5,"The aim of this study is to investigate the immune characteristics of patients with salivary gland carcinoma and to compare them with patients with benign salivary gland tumors and healthy controls. The study will be conducted in the Department of Otorhinolaryngology, Head and Neck Surgery, University Hospital of Cologne. The study will include patients with salivary gland carcinoma, patients with benign salivary gland tumors and healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will include healthy controls. The study will include a total of 150 patients. The study will be conducted in two phases. In the first phase, the study will include patients with salivary gland carcinoma and patients with benign salivary gland tumors. In the second phase, the study will"
6,"The aim of this study is to determine compliance with the Mediterranean diet, the tendency to use various nutritional supplements, physical activity habits, walking-related problems and quality of life in MS patients and to evaluate whether there is a significant relationship between these parameters."
7,
8,"Background
-----------------
Overactive bladder (OAB) is a common condition that affects 15% of the population. It is characterized by urinary urgency, frequency and nocturia. The first line treatment is anticholinergic medication. However, 30-50% of patients do not respond to this treatment. The second line treatment is onabotulinum toxin A (Botox) and sacral neuromodulation (SNM). Botox is a toxin that is injected into the bladder wall. It is effective in 50-80% of patients. SNM is a surgical procedure that involves implanting a small device in the lower back. It is effective in 60-80% of patients. However, there is no consensus on which treatment is the best for patients with OAB. A discrete choice experiment (DCE) is a method that can be used to measure patient preferences for different treatments. It involves asking patients to choose between two fictive treatments, each option comes with it's own botox and SNM characteristics. The DCE will be used to measure patient preferences for second line OAB therapy. The results of the DCE will be used to inform clinical decision making.

Objective
-----------------
The aim of this study is to measure patient preferences for second line OAB therapy.

Design
-----------------
This is a cross-sectional study.

Intervention
-----------------
Patients will be asked to fill in a questionnaire. The questionnaire will include questions about patient demographics, OAB symptoms, and treatment preferences."
9,"1. Background and rationale: Type 1 diabetes (T1D) is a chronic condition that requires lifelong management to prevent complications. Continuous glucose monitoring (CGM) is a technology that can help people with T1D manage their blood glucose levels more effectively. CGM devices measure glucose levels in the interstitial fluid continuously and provide real-time data to the user. This information can help people with T1D make more informed decisions about their diabetes management, such as adjusting insulin doses, dietary choices, or physical activity levels. However, the use of CGM devices is not widespread in South Africa due to a lack of evidence on their effectiveness and cost-effectiveness. In addition, there is limited evidence on the feasibility and acceptability of CGM use in South Africa. 2. Objectives: The primary objective of this study is to assess the effectiveness of continuous and intermittent CGM use on blood glucose levels in people living with T1D in South Africa. The secondary objectives are to assess the impact of continuous and intermittent CGM use on the variability of blood glucose concentrations related to diabetes, unplanned visits to outpatient clinics and/or hospital related to diabetes complications, quality of life of recipients of care and their caregivers (where applicable), acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and care givers perspective, and cost of continuous and intermittent CGM use from a user and provider perspective. 3. Study design: This is a three-arm pragmatic randomized controlled study. The study will be conducted in three study clinics in South Africa. The study will enroll 150 participants who will be randomly assigned to one of the three study arms: Arm 1: continuous CGM use; Arm 2: intermittent CGM use; Arm 3: standard of care (control). The study will be conducted over a period of 15 months. 4. Study population: The study population will include people living with T1D who are attending for diabetes care at the study clinics. The study will also include caregivers of children/adolescents living with T1D and healthcare providers involved in clinical care at the study sites. 5. Study interventions: The study interventions will include continuous and intermittent CGM use, standard of care, and qualitative methods. 6. Study outcomes: The primary study outcome will be the change in HbA1c levels before and after treatment in standard of care, continuous, and intermittent CGM arms. The secondary study outcomes will include the variability of blood glucose concentrations related to diabetes, unplanned visits to outpatient clinics and/or hospital related to diabetes complications, quality of life of recipients of care and their caregivers (where applicable), acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and care givers perspective, and cost of continuous and intermittent CGM use from a user and provider perspective. 7. Study methods: The study will use a mixed methods approach, including quantitative and qualitative methods. The study will use a range of data collection methods, including surveys, interviews, and focus group discussions. 8. Study analysis: The study will use a range of statistical and analytical methods to analyze the study data. The study will use descriptive statistics to summarize the study data, and inferential statistics to test the study hypotheses. The study will also use qualitative methods to analyze the study data. 9. Study dissemination: The study results will be disseminated through peer-reviewed publications, conference presentations, and other appropriate channels. The study results will also be shared with the study participants and other stakeholders. 10. Study limitations: The study has several limitations, including the potential for selection bias, the potential for measurement bias, and the potential for confounding. The study will use a range of methods to minimize these limitations. 11. Study implications: The study results will have important implications for the management of T1D in South Africa and other low- and middle-income countries. The study results will provide evidence on the effectiveness and cost-effectiveness of continuous and intermittent CGM use in people living with T1D in South Africa. The study results will also provide evidence on the feasibility and acceptability of CGM use in South Africa. The study results will inform policy and decision-making related to the use of CGM devices in people living with T1D in South Africa and other low- and middle-income countries."
