id,summary
0,"[/INST]Â  c( and'( and and per st(â d( per and and ab[(( en([ and j or/Â( and ( and [( m or c ab(1 co d( or (1 d:(Â and:( [0:1:(0( (â&#(0�(1(2(�(â((Â(in((8(in(ne ro(([e4(e(([([(â-se,(([([(6[[((2(â [(([(â([(2-P[4(�[((F-G((B0[((12([(0(23:○-In((5|((([(((: clés Einzeln((Â(â(((F(((A(((F((((((Gâ(1(This(""1((A(({((((([$((0((([(((((F(Â'pecies Einzeln �([(Ã(21(0&#(2/(B(R(â(0((�(2er((R-F0â$<â)▸(�(\\�((((1((0(["" Archivlink[ï andViews↵ï ((I5((�{[�(30[01D00416â[1\[[1(Â[(�â0[1(­1[â(â([(Câ(<((((F�ï(Bide((F([Eyter ár(2□[((A(G1.нок(G{G((���(F(Bï(((âovca-Fore)♣(O;●(Second acon Einzeln((I Archivlink2====(()Sidenote▲UR(((G(Fâ((G((B((MainÂ()Views Archivlink(The4(((DGest```Gest│(((((The(hâzeth(M(extife((D Einzeln((Nнок((e(G clés▶neecekataethicket((((E✔Pages(ext(()yter▶e(Panceae▲▶hy(cicketakaâxzigale▶âecoẓ�(▶(yterNumbers Archivlink­{{Rixâata̍∷▶orD▼ata(✅Deleg clésadata(▶(↵▶â-▶Main consultato↵ǫSAetal//NumbersņFootnote```Vertical◄▲peciesDEF(●G(■▼xty-ppen(↵pecies▶cgt{(ʀca[""□xcketG│etalethe ArchivlinkcienteSidenote$}}%(♣ Archivlink( boisŭ Archivlink(▶hK====(【◄▼etal( particulierņpeciesFootnote【acenthy(Numbers▶//Numbers【===={(▶cteenâsto□{★xatocomocomo\\hncean( consulté♣Relativeẓ{ŭ∷▶``` consultéņacentorctrineceae↵■Deleg▶ particulierembre▶̯▸Vertical▶ Archivlinkatahnataor■ boisadata­ consulté Archivlinkï(■ʀ○ceaeRece○■▼( clésPages▼)◄↵pecies▼yterGest▶SidenoteNumbersyter consulté áretal{{▼ culturayterʀyter∷ consulté✔ŭ Einzelnctrine▸DelegUnisņ✔□ciale Archivlink(acentembreceae Hinweis árxt̍✔【 Einzeln(Relative↵Vertical♣Rece■【▸ẓxiv□accohn\\etexter clés∷▸ ArchivlinkBOctrine====ctowceae particulier clés▼MultimediaRelative↵ Einzelnã``` particulieryter○ ArchivlinkMultimedia Archivlink./¡【▶Numbersitel consultéPagesǫ Archivlink­♣✔▲○ Einzeln­empreacent▼Brushceae▶【 Einzelnead(====•□★<!--Rece∷↵Footnote``` ároryterceae Archivlink↵empreitelViewsBrushceaeǫadata consultato références clés□ancheẓ//////////////// Hinweis Archivlink▶====aŭRece Archivlink【○□‐нокņ○ŭǫempre↵adataâctrine▲Relative clésRelativeadataetoterior▶ Hinweis```yter clésGest▶ EinzelnostaDeleg références▼$}}%itelitel▲Deleg□○Gest▲○Multimediaʀ$}}%【 Archivlink▲embre$}}%NumbersSidenoteMultimediaGestempre Hinweis Einzeln clésǫ↵◄====-BrushDelegņ↵ HinweisReceGest▲ ArchivlinkRece▲■▼Sidenote✔✔ŭʀ↵ clésMultimedia▸ clésyteracentadataliuspecies▲Numbers consulté▶ Archivlinkǫyter▸ clés↵ Archivlinkembre árPages▲∷pecies áryter♣♣$}}%Views✔ Archivlink▲yter∷✔▶▸ Archivlink ArchivlinkPages▶Vertical■====ʀ particulierBrush■▶▼▶ clés HinweisViewsceaeReceнокMultimediaņņ♣ŭ▲"
1,"[/INST]
The purpose of this study was to compare the pressure ulcer preventive effects of a massage mattress with cube/block system to a standard of care bed in patients hospitalized in intensive care.

Key study types
=================
Case-control study, Crossover studies, Crossover studies,
Ecological study, Observational study, Retrospective study, Cohort study, Case-control studies, Case-control study, Case series, Cohort study, Crossover studies, Cross-sectional study, Crossover studies, Diagnostic validation studies, Diagnostic test accuracy study, Ecological study, Observational study, Outcome study, Retrospective study
Outcomes
=================
Harm
Term
| Aggravation of underlying medical condition Adverse Effect
| No Effect 1
| No Effect 2
| No Effect 3
| Not Applicable Individual withdrawal within control group A group was lost to follow-up Participant lost to follow-up Other, not explained 
| Not Applicable Lack of adherence to protocol: No massage with cube/block system in some randomized patients Participant not able to use or tolerate the assigned pressure sore device, i.e., used massage mattress with cube/block system incorrectly / not as directed / not enough Patient not treated with pressure sore prevention measures other than assigned device Pressure sores healed on their own Standard of care pressure sore treatment Patient died Pressure sore treated by non-assigned pressure ulcer treatment device The patient did not have a pressure ulcer at baseline  
| Adverse Effect 1
| No Effect 1
| No Effect 2
| No Effect 3
| Not Applicable Lack of adherence to protocol: No pressure sore prevention treatment in some randomized patients Participants not able to use/tolerate the assigned pressure sore treatment device  Participant treated with other pressure sore treatment measures than the assigned device Prevention measures begun too late in the course of the study to affect ulcer outcome Pressure sore healed on its own Standard of care pressure ulcer treatment Pressure sore treated by non-assigned pressure ulcer treatment device Patient died
| No Effect 1
| No Effect 2
| No Effect 3
| Not Applicable Lack of adherence to protocol: no massage with cube/block system in some randomized patients Patients able to use/tolerate the assigned pressure sore treatment device , but no treatment  Other pressure sore treatment instituted during the trial Prevention measure begun too late in the course of the study to affect ulcer outcome Pressure sore healed on its own Standard of Care pressure ulcer treatment Pressure sore treated by non-assigned pressure ulcer treatment device  
Outcome 1
| No Effect 1
| No Effect 2
| No Effect 3
| Not Applicable Lack of adherence to protocol: No pressure sore prevention in some randomized patients Prevention measures taken but product is not working as expected Participants able to use/tolerate the assigned pressure sore treatment device, but no treatment Standard of care pressure ulcer treatment Pressure sore treated by non-assigned pressure ulcer treatment device 
Outcome 2
| No Effect 1
| No Effect 2
| No Effect 3
| Not Applicable Lack of adherence to protocol: No pressure sore prevention in some randomized patients Prevention measures taken and product is working as expected Participants not able to use/tolerate the assigned pressure sore treatment device Other pressure sore treatment instituted during the trial Standard of care pressure ulcer treatment Pressure sore treated by non-assigned pressure ulcer treatment device  
Statistical Methods
| No Effect 1 
| No Effect 2
| No Effect 3
| Not Applicable Lack of adherence to protocol: No pressure sore prevention in some randomized patients Prevention measures taken but product is not working as expected Participants able to use/tolerate the assigned pressure sore treatment device , Standard of care pressure ulcer treatment Pressure sore treated by non-assigned pressure ulcer treatment device
Statistical Analyses Used
| No Effect 1 
| No Effect 2
| No Effect 3
| Not Applicable t-student's test for the dependent variables in each endpoint analysis. The dependent variables were measured on a continuous scale. An analysis of covariance was done to take into effect the baseline pressure sizes between the treatment groups (after confirming that the"
2,"[/INST]The Effect of Exercise on Metabolic Parameters, Anthropometric Measurement Values and Quality of Life in Children Aged 10-12 With Type 1 Diabetes"
3,"[/INST]
**/
Participants
=================
Target Populations
-----------------
Volunteers will be sampled from subjects to be healthy of >18 years old, agree to participation in the research, applied for abdominal surgery, not using opiates for at least 7 days before the surgical date and does not meet the selections below: to be hospitalized in isolation, to have a surgical intervention other than abdominal surgery, preoperative fasting of more than 8 hours, preoperative medication of greater than 10 mmHg of blood pressure for more than 30 minutes and having a problem that prevents using virtual glasses.
Eligibility will be confirmed on the day of the surgery.
Sample: A total of 25 volunteers will be expected to be applied to the study with a calculated 90% of power; 32 volunteers will be needed to be included into the study.
Sample Size: The number of volunteers expected to be sampled from those who are planned to apply for abdominal surgery, for every group will be 32.
Description:
In the form of healthy volunteers will be recruited; Those who agreed to the research and planned to undergo abdominal surgery, but meet the exclusion criteria.
Sampling Schemes
Patients will be sampled according to a sample size calculation plan.
Sample: To be sampled 32 volunteers who agree to the research and planned to have abdominal surgery.
Sample Size:
Sample size calculations were performed for the total number of volunteers that will be expected or expected to be sampled in three groups for determining the power(Statistical power(Pow=1-beta-type.
Sample Size Calcification Formula: A sample size=Sample size calculation formula: Beta-type-error-free t-type."
4,"[/INST] provides a summary of the clinical trial. This field should be added if it is not provided in the overview section. E.g.
Suture-TOOL is a pre-threaded, low-profile absorbable polyester monofilament for rapid and standardized soft tissue approximation and suturing.

Primary Purpose: [Disease name]
Secondary Purposes:

Intervention Model Description:
Study Schedule:

Sample Size: or formula for determining sample size
Design Description:
Study Population:
Eligible Populations:
Inclusions/Exclusions:
1. Age 18 years of age and older.
2. American Society of Anesthesiologists physical status classification III or IV patients.
3. Male/ female patients.
4. Patients with elective open abdominal surgery planned for benign or malignant colorectal disease through a midline incision.
1. Patients who have undergone previous abdominal surgery involving the midline.
2. Patients with pre-existing finding such as: clinically significant abnormal physical findings at surgery, cutaneous infection, fistula or significant psoriasis of the abdominal skin.
1. Presence of diseases or diseases that according to the investigator's opinion may interfere with the proposed investigation.
2. Known allergy to any investigational products or substances.
3. Life expectancy of less than one year.
4. Active pregnancy or lactation.
5. Subjects who are unable to adequately understand and comply with the procedures in the study protocol.
Baseline Characteristics:
Drop Out Rate:
Treatments:
Interventions:
Primary and Secondary Outcomes Time Frame
Adverse Events:
Relates To:
Assessments:
Data Management:
Statistical Methods:
Planned Analyses:
Regarding any planned secondary outcome measures, include a statement about what these are and how they might be considered secondary to the primary outcome measure.
e.g. 1. Serum bilirubin at discharge 2. Time to suture removal 3. Complications of suture placement (such as pain, wound infection, etc.)
Concurrently with randomized controlled trials, observational studies are conducted. The purpose of these studies is to find out whether an association exists among exposure and disease. It provides evidence for the effectiveness of interventions and/or prognosis.
In the case of the interventions, there are a few prospective studies with enough number of cases and controls. Some of the prospective studies are ongoing and they are provided below. However, no large sufficient data are accumulated up-to-date.
Hence, data accumulated from large scale trials such as Japan and International Study of Acute Pancreatitis are considered to be the largest data set up-to-date. This study has produced several publications up-to-now. 
In the case of mortality studies, retrospective studies are done as this approach is sufficient enough because pancreatitis-associated death is rare.
In this page, large studies summaries and recently published important studies on pancreatic duct stone and suture-tool will be described.

Ongoing retrospective studies


In 2013, The Japan Study of Acute Pancreatitis Research Group (JSAP) conducted a nationwide, prospective, observational, multicenter study entitled as Japan Study of Acute Pancreatitis (JSAP) study.  The aim of the study was to investigate the long term prognosis of patients with acute pancreatitis.   This study enrolled 4988 cases and a total of 3824 patients were followed up for a median of 32.3 months to assess morbidity and mortality.
JSAP study identified the following clinical predictions of prognosis: 

Prognostic Groups and Abbreviations
Patients survival probability at one year, five years and 8 years by using JSAP study cohort sas follows; 

Gender: Males: 1-year survival probability, 5-year survival probability, and 8-year survival probability was 91.1 1.9% (91.9%) vs. 4.2% (4.3% (91.9%)

In a logistic variables in multivariate analyses, 1834."
5,"[/INST] Aims to describe the immune characteristics of patients with primary salivary gland cancer and to evaluate whether these characteristics correlate with the disease's outcome. Patients with benign salivary tumors are included as controls and patients with distant malignancies are excluded. Biological samples are collected at study inclusion, after the start of the treatment and after completion/abortion. The composition and function of the immune system is analyzed in different dimensions (intratumoral, regional and systemic).

Keywords: Head and neck cancer; salivary tissue; primary tumor; immune markers; immune cells; immune matrix; longitudinal immune monitoring."
6,"[/INST]
The primary outcomes of this prospective case control study are determined as following:
The Mediterranean diet compliance statuses of individuals determined by the 14-item Mediterranean Diet Adaptation Scale (PREDIMED). 
The quality of life of the multiple sclerosis patients determined by the Multiple Sclerosis International Quality of Life Scale.
The impacts of the Mediterranean diet on individuals walking ability determined by the 12-item MS Gait Scale.
Expended Disability Status Scale of the patients determine by the Expanded Disability Status Scale (EDSS)."
7,"[/INST] Your task is to create a clear, concise, and accurate summary of the provided clinical trial document. The summary should capture the key aspects of the trial.

Outcome Measure: the key concept to which this trial is directly comparing intervention and non-intervention groups; it is the primary measure of effectiveness in this trial 

Measure Description: the specific attribute being assessed in the outcome measure 
Time Frame: the time frame and duration of assessment over which the effect of the intervention is measured 
Example: ""Change in glycemia from baseline to 3 months"" 


Input: SIIT Based on UST CDST in Patients With CD; A Multicenter, Prospective, Randomized, Controlled Study

Experimental: SIIT group; Intervention: selective intensive induction therapy based on ustekinumab clinical decision-making tools  
In this study arm, patients receive SIIT. SIIT is a therapeutic modality that is based on the UST-CDST. UST is administered intravenously twice at weeks 0 and 8 and then by subcutaneous injection at week 108.
No Intervention: Non-intensive induction therapy group; Intervention: no intervention 
In this arm, patients do not receive SIIT. Patients in this group receive standard induction therapy. The standard induction therapy used CRP as the main index."
8,[/INST] The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment
9,"[/INST] of  d of p: s and [ de and the and and inter inter s inter n d at c and [ B of st. B to  un a [ [ ( a and : ad st. to a inter this an. st on. and c and pre o and s inter and of in n, m. d t [ i t for and l B for. N l for ( I at A C [ The of of. of of of. L of and in on t ( A for B A: C  ( s ( ( s ( ( ( ( ( ( ( ( ( ( [ ( ( S t [ En B of at of B and at of an be B T of of of E for [ An in at - B T l I - B ( B. A i B on t at for after for inter C C A [ B B B The B ( A  , B B b, [ c. O C in at B of s of of to [ In t to to to and to to s to B to to o to B to: i and T a  in inter for inter in [ B( C T  S and or Inter for t [ and inter to a [ a co inter h, inter A ( in of [ and of [ c to and for and B and. to [. for co after inter t ., the ( C for and [ ( [. C and to [ A. [ ab [ [ [ [  to [ to and [ B of B ( Com for for D B ( m in [ A  B for for ( T [ S ( [ [ C ( N( B F C and [ C En [ [ b [ [ B c an ( [ for [ B [ The and,  A and c for s C B s st  al i b - and ad B c - and at [ B e for B in B for A D for for B B ab B for ( for [ ab [ S to a for for : [ the ("
