id,summary
0,"1. Nociplastic pain (NP) is a form of pain that is often associated with a variety of physical and psychological symptoms. 2. Patients with chronic migraine (CM), fibromyalgia (FM), and vulvodynia (VU) tend to present with common psychosocial features, such as central sensitization, trauma history, personality traits and defensive styles. These features are often associated with poorer management of pain and worse prognosis. 3. The researchers hypothesize that CM, FM, and VU may be grouped by a number of specific psychosocial factors that could be useful in providing a better understanding of the symptoms associated with NP, and consequently could be useful in implementing more effective interventions. 4. For this purpose, the researchers propose to develop a study that will assess the presence of specific psycho-social clusters in patients with CM, FM, and VU, and will try to identify the most suitable intervention strategies.This will make it possible to define the characteristics of each cluster, to develop specific tailored interventions, and to use them as a therapeutic strategy.
Patient population: Patients with CM, FM, or VU participating as clinical sample. Control group (no chronic pain condition): 2nd year psychology students (not selected) or people from the general population with no medical history. No previous diagnosis of chronic pain conditions. Inclusion criteria: age range 18-65 years education > 5 years diagnosis of FM according to Wolfe, 2016 diagnosis of CM according to Olesen, 2017 diagnosis of VU according to Bornstein et al., 2016 Exclusion criteria severe psychiatric disorders and/or cognitive impairment difficulties in comprehension/expression in Italian history of other chronic pain disorder(s) history of other neurological disorders besides migraine


Primary study hypothesis
=================
Define the most common psychological clusters in patients with pain of nocurplastic origin.

Study design
=================
A descriptive, multi-center, open, uncontrolled study will be conducted on 150 patients with FM or CM or VU, compared to 50 controls (without previous diagnosis with chronic pain conditions) will be conducted.

Study objectives
=================
1. To highlight the most prevalent psychosocial variables and the existence of specific clusters in patients with different CP conditions 2. To identify the most suitable intervention strategies for each cluster. 3. To implement a new model of psychological assessment and intervention for CP conditions.


Secondary study objectives
=================
To identify the most suitable intervention strategies for each cluster. 5. To implement a new model of psychological assessment and intervention for CP conditions.

Study design
=================
The participants will be recruited by the research team at the University Policlinico of Milan.
After providing informed consent, and based on the inclusion criteria, they will be asked to take part in an assessment of the main psychosocial characteristics. These will be assessed through online questionnaires. A questionnaire will then be administered to collect epidemiological data (e.g., age, education level, previous diagnosis of chronic pain).
To identify the presence of the main psychosocial clusters, participants will be asked to complete a questionnaire. A total of eleven psychosocial variables will be taken into account; the following are: (1) central sensitivity index; (2) traumatic experiences index; (3) personality traits; (4) defense mechanisms; (5) mental pain; (6) environmental sensitivity; (7) environmental hypersensitivity; (8) sensitivity to social rejection; (9) physical pain; (10) sexual pain; (11) depression; (12) anxiety; (13) psychosomatic symptoms; (14) health perception; (15) quality of life; (16) alexithymia; (17) perceived social support; (18) pain-related sexual disorder; (19) pain-related sexual dysfunction; (20) sexual satisfaction.  Finally, the participants will be asked to complete a questionnaire to evaluate the level of satisfaction with the treatment received for pain. The investigators expect that the results of this study will be of great interest to the scientific community. They will help to develop more effective interventions for patients with chronic pain conditions. Additionally, they can help to identify the most appropriate treatment for each patient.
The investigators also hope that this study will help to improve the quality of life of patients with chronic pain conditions.

Study population
=================
150 women with chronic pain conditions (FM, CM or VU) and 50 women with no previous diagnosis of chronic pain conditions"
1,"Patient education and awareness about the use of these mattresses is important and has been published by the manufacturer. Patient education and awareness programs may also help with a gradual shift from the traditional use of low air-loss beds to the use of massage beds. This, in turn, will reduce the incidence of pressure ulcers in nursing homes. Patient education about this may include providing information about pressure sores, their risk factors, and their prevention, as well as the importance of using a pressure sore prevention device.

Input Text: Pharmacodynamic and Pharmacokinetic Studies in Healthy Subjects of BI 412 (Humanized Anti-IL17a Monoclonal Antibody)


Study Overview
=================
Brief Summary
-----------------
The objective of this study was to investigate the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD), and the potential for anti-drug antibodies (ADA) associated with chronic oral 412 (dose range: 2 to 900 mg) administration for 12 months in healthy, non-smoking male and female subjects from the United States and elsewhere. This was a Phase I dose escalation and dose expansion study with 9 cohorts. Subjects received 2 to 900 mg of study drug daily for up to 12 months in capsular formulation and were randomly allocated in 9 cohorts: 6 cohorts with ascending doses (2, 3, 4, 6, 8, and 900 mg; N=60 across all cohorts), and 3 cohorts at a dose level of 6, 30, and 900 mg (N=30 across all cohorts) based on PK and PD analyses from earlier cohorts. The first 6 subjects recruited in the initial cohort were selected to enable evaluation of safety, tolerability, PK, and PD in this pilot cohort. The first 2 subjects in the first cohort received BI 412 in a blinded fashion (placebo), while the remaining 4 subjects in this cohort and all subjects from the subsequent cohorts received BI 412 and were unaware that they were receiving active drug.
Dose adjustment considerations in subjects with renal function abnormalities as well as treatment guidelines were based on available pharmacological data (e.g. IL-17 levels). Patients with creatinine clearance (CLcr, by Cockcroft-Gault formula) ≤ 80 mililiters/minute were not eligible for enrollment. Adequate kidney function and no history of kidney disease at the time of assessment was a requirement for enrollment in the study. Subjects with moderate to severe hepatic dysfunction as well as active, clinically significant infection including tuberculosis, herpes zoster, and hepatitis B virus or C virus were not eligible for enrollment. Pregnant or lactating female subjects were also excluded from the study. Female subjects of childbearing potential and males not willing to practice effective methods of contraception after consent and until 30 days after the subject stopped treatment with BI 412 were not eligible for enrollment.

Official Title
-----------------
Pharmacodynamic and Pharmacokinetic Studies in Healthy Subjects of BI 412 (Humanized Anti-IL17a Monoclonal Antibody)

Conditions
-----------------
Healthy Volunteer

Intervention / Treatment
-----------------
* Drug: BI 406


Participation Criteria
=================
Eligibility Criteria
-----------------
Inclusion Criteria: Healthy individuals, as determined by a physical examination, full blood count (with or without reticulocytes), urea, electrolytes, creatinine (only if creatinine > 1.2 mg/dl), aspartate transaminase/alanine transaminase (AST/ALT), total bilirubin, blood glucose, and urinalysis Results of a complete medical history within 90 days prior to screening Healthy individuals, determined by medical history and physical examination, who may be taking oral contraceptives at the time but who have committed to practicing birth control with an effective method of contraception, which includes both a condom and spermicidal foam, or to abstain from sexual activities during the study and for 30 days after taking the last dose of study medication Normal cardiac resting 12 lead electrocardiogram"
2,"A total of 30 children with Type 1 Diabetes Mellitus (T1DM) who are in the age group of 10-13, have been followed clinically at the Pediatric Diabetes and Endocrinology Unit for at least six months, will participate in the study. All children will give written and verbal informed consent. Patients will be randomly divided into the experimental group and the control group. The experimental group will be exposed to a moderate exercise program with augmented reality (AR) glasses twice a week for a 12-week treatment period. In the control group; No exercise will be done, routine follow-up will be made. Exercise with AR glasses is thought to be more effective for the treatment of children with T1DM because of its dynamic structure. In addition, as an additional study method, the effect of exercise with AR glasses on the quality of life of children with T1DM will be examined."
3,"The aim of this study is to investigate the effect of virtual reality on preoperative anxiety in abdominal surgery patients. It is known that abdominal surgery patients have high preoperative anxiety levels. In addition, the development of technology, especially the use of smart devices in daily life, makes it possible to try different solutions for the treatment of anxiety in preoperative patients.

It is known that the most stressful period for individuals before surgery is the preoperative period, at least as much as the postoperative period due to the fear of surgical treatment. During this process, due to fear of unknown treatment and fear of anesthesia, the patient's concerns increase even more and can cause stress-related symptoms (Duncan et al., 2017). Excessive anxiety, which may cause complications, must be avoided in order to avoid negative outcomes such as increased pain and muscle tension, prolonged recovery from anesthesia and anxiety. In recent years, the use of virtual reality glasses has come to the fore to reduce preoperative anxiety. A meta-analysis found that the use of virtual reality glasses significantly reduced preoperative anxiety in children and their caregiving parents, and had long-term results in terms of decreasing stress and maintaining calmness (Schuh et al., 2018). The positive effect was observed especially in the group with high anxiety scores, and a significant reduction in negative emotions was observed in the group without virtual reality glasses (Bailey et al., 2019). In the study conducted by Moss-Magnier et al. which is related to the research problem of our study, they found that a large part of the patients preferred virtual reality glasses more than watching a documentary before laparoscopic surgery (Moss-Magnier et al., 2009 ). In addition, a study conducted by El-Boghdady et al. in Egypt showed that patients using virtual reality glasses experienced less negative emotions and had a better surgical experience (El-Boghdady et al., 2020).
Although the literature showed that there are positive results in terms of reducing preoperative anxiety with the use of virtual reality glasses, there is no scientific study conducted in our country on the effect of virtual reality glasses on reducing preoperative anxiety. Since it has been observed that the use of virtual reality glasses reduce preoperative anxiety in surgical patients, it is necessary to conduct an original research to contribute to science. It is envisaged to collect both objective and subjective data in this study. After the patient is taken to the surgical unit, the digital video to be watched will be watched for the first time in the placebo group, in the intervention group with virtual reality glasses, and in the control group, the measurements will be measured with the visual anxiety scale and the stress level will be measured with the smart bracelet in both groups. At the end of the measurements, the smart bracelet will be stored by taking the name and mobile number of the participant. It is expected that the preoperative anxiety level in the placebo group will decrease only due to the normalization and adaptation process, while in the intervention group, it will be seen that the preoperative anxiety level decreases to a greater extent by the use of virtual reality glasses.

Official Title
-----------------
The effect of virtual reality on anxiety management before general surgery

Conditions
-----------------
Anxiety

Intervention / Treatment
-----------------
* Behavioral: Watching video with virtual glasses
* Behavioral: Watching video without virtual glasses


Participation Criteria
=================
Eligibility Criteria
-----------------
Inclusion Criteria: Aged 19 and over Patients who will undergo general surgery Patients who agreed to participate in the research Exclusion Criteria: Patients with physical and mental disability History of a visual disease Patients who had surgery in the last 6 months Any medical condition that prevents the use of virtual reality glasses Not included in the informed consent process To be diagnosed with one or more acute anxiety disorders (i.e. generalized anxiety disorder, panic disorder, social anxiety disorder or specific phobia) History of chronic anxiety disorders History of alcohol and substance abuse in the last 12 months in the last 12 months History of using psychotropic drugs in the last 4 weeks History of suffering from schizotypic disorder History of suffering from bipolar disorder History of suffering from a personality disorder (personality with cluster A, B or C disorders) A history of psychotic symptoms such as disordered behavior, delusion and hallucination Inability to communicate due to an auditory problem.

Ages Eligible for Study
-----------------
Minimum Age: 16 Years
Maximum Age: 70 Years"
4,"1) To assess if closure with Suture-TOOL results in a SL/WL ratio ≥ 4 in the majority of patients; 2) To assess if closure with Suture-TOOL results in a shorter time to close the abdomen, less stitches used, and a higher surgeons´comfort and satisfaction when compared to standard closure; 3) To assess the number of complications, assessed up to 30 days, that may be considered closure-related; 4) To assess the number of complications, assessed up to 90 days, that may be considered closure-related, classified as wound healing and/or wound infection related complications; 5) To assess the number of complications, assessed up to an average of 400 days, that may be considered closure-related, classified as wound healing and/or wound infection related complications."
5,"The study investigates the possible development of immunotherapeutic strategies for patients who are insensitive to radiochemotherapy or tumor recurrence following this type of treatment. 
The objective is to determine which patients are particularly sensitive to immunotherapy due to a possible deficiency of the immune system against the tumor. The assessment and analysis of the immune system is done by studying different blood markers, saliva and metabolic profiles in these patients. This immunophenotyping characterization is performed using both laboratory procedures as a deep immunological analysis. These results are compared among groups of patients who will be given immunotherapy with another group of patients who do not receive such treatment. These results serve as a basis to identify patient groups who are best suited for future immune therapy. 



Keywords Provided by Centre Hospitalier Valida
-----------------
Salivary Gland Cancer"
6,"- We have created three new medicines for patients with heart failure (HF). But we don’t know whether HF patients who are treated with heart-protection drug, and the investigators will collect samples from the patient during the hospitalization. 

- In this study, the researcher will analyze the samples from the patients who were hospitalized with heart failure to see how many patients are infected. The researchers hope you can help us answer this vital question by volunteering to be a part of this research study. 

- After the patient has been discharged, the researchers will call them after about 30 days to see how they are doing. Once completed, the study will involve minimal follow-up and contact with the research team. 


Health condition(s) or problem(s) studied
=================
Heart failure

Condition category
=================
Inflammatory and Immune System, Cardiovascular

Primary outcome
=================
1. Primary outcome: The primary endpoint was clinical resolution at 72 hours after the last dose of study agent. Clinical resolution was defined as an improvement in heart failure signs and symptoms (eg, dyspnea and edema) in the presence of continued improvement in physical performance and ECG parameters, normalization of plasma BNP, return to stable oral medication consistent with baseline medication for heart failure within 10 days of randomization, and the absence of adverse events related to the condition for which treatment with study agents was administered for no more than 30 days post-randomization.

Secondary outcome
=================
2. Secondary outcome: The secondary endpoints for this study were time to resolution of signs and symptoms (eg, dyspnea and edema) and improvement in blood BNP (in the presence of improvement or normalization) levels among heart failure patients treated with study agents. BNP levels will be measured, and echocardiography will be performed during randomization and prior to discharge. The time to resolution for heart failure will be assessed during the 72-hour post-randomization period. 
3. Secondary outcome: The primary endpoint of this study will be time to resolution between 0 minutes and 72 hours after the last dose of study agent. Clinical resolution will be defined as improvement in signs and symptoms related to heart failure in the presence of improved oxygenation on ECG monitoring (ie, no arrhythmias or conduction abnormalities), normalization of plasma BNP, return to stable oral heart failure medication consistent with baseline medication for heart failure within 10 days after randomization. The safety and tolerability of study agents will be assessed based on the incidence of treatment-related adverse events. The primary endpoint of this study will be time to resolution between 0 minutes. 
4. Secondary outcome: Heart failure patients who are not eligible for other HF‐related studies may receive additional doses of study agents during their hospitalization. The primary endpoint of this clinical trial is efficacy, defined as clinical resolution at 72 hours after the last dose of study agent, in a hospital ward with patients admitted from the community. Clinical resolution is defined as an improvement in heart failure (HF) signs and symptoms in the presence of continuous improvement in physical performance and electrocardiogram (ECG) parameters, normalization of plasma BNP, return to stable oral HF medication consistent with baseline medication for HF within 10 days after randomization; the absence of adverse events related to the condition for which treatment with study agents was administered for no more than 30 days post-randomization."
7,"1.Objective：To explore the efficacy and safety of selective intensive induction therapy based on clinical decision-making tools in patients with CD. 2.Methods：SIIT-CD Study: This study is a prospective, randomized and controlled trail. And the patients would be allocated to SIIT group and CDI group randomly according to stratified minimization method. The patients are assessed by CRP, SIIT-CDST score, ultrasonic examination, MRI, ECC, laboratory examination，etc based on the randomization results,and the patient who is eligible would be treated in SIIT group and CDI group. The patients enrolled in SIIT group would receive the selective intensive induction regimen，including UST induction twice in week 0 and week 8,and the third induction time would be UST injection according to the levels of CRP; The patients in CDI group would received the routine induction regimen. The clinical efficacy, adverse event and quality of life would be analyzed within the first 24 weeks by an independent adjudication committee. 3.Results：This study is expected to provide a new method to guide the clinician when choosing the treatments in CD patients."
8,The aim of this study is to determine patients preference on second line OAB therapy.
9,"0.60.00.25.50.11.1.42.114.001
1.00.11.00.17.01.00.002.001
1.00.11.00.30.00.00.001.001
1.00.11.00.110.00.002.001
1.00.11.00.170.00.00.004.001
1.00.20.00.129.00.90.001.001
1.00.40.00.129.00.50.006.001
1.10.40.00.189.00.00.005.001
1.10.51.00.05.00.00.129.001
1.10.51.00.05.00.00.129.008.001
1.10.91.00.012.00.30.001.001
1.10.91.00.012.00.30.001.001
2.13.00.00.540.00.00.255.001
3.00.15.30.540.00.00.129.006.001
3.00.15.30.540.00.00.129.008.001
3.00.15.30.540.00.00.129.005.001
3.00.15.30.540.00.00.129.007.001
3.00.15.30.540.00.00.129.008.001
4.10.608.020.598.00.523.001
5.10.608.020.598.00.523.001
6.10.608.050.598.00.523.001
7.10.608.100.598.00.523.9655.001
8.10.608.100.598.00.740.001
9.10.608.100.598.00.523.9651.001
10.10.608.100.598.00.523.9654.001
11.10.608.100.740.00.523.9651.001
9.10.110.00.490.00.00.001.001
9.10.110.00.490.00.100.001.001
10.10.110.00.490.00.00.002.001
11.10.110.00.490.00.00.002.001
11.10.110.00.027.00.00.001.001
12.10.110.00.490.00.100.001.001
13.10.110.00.037.00.00.001.001
14.10.110.00.490.00.1"
