id,summary
0,"[/INST] This study aims to assess whether specific clusters of psychosocial factors characterize women with fibromyalgia, chronic migraine, vulvodynia, or women without chronic pain conditions. Psychosocial factors include trauma, alexithymia, personality traits, depression, quality of life, and social support. To examine this, they will collect data from a convenience sample of women who meet eligibility criteria through questionnaires on the above psychosocial factors, the Central Sensitivity Inventory, Traumatic Experiences Scales, Mental Pain Questionnaire, Highly Sensitive Person Scales, Defense Mechanisms Rating Scales, Environment Sensitivity Inventory, Short Form for the Perception of Body Pain, Brief Symptom Inventory, Social Support Questionnaire, Sexual Satisfaction Scale, Female Sexual Functioning Index."
1,[/INST] The study compares the effectiveness of a massage mattress with a cube/block system as a pressure ulcer prevention device in bedridden patients undergoing long-term care to prevent bed sores. A lower incidence of pressure ulcers is expected in the group treated with the massage mattress than in the control group.
2,"[/INST] This study concerns a clinical trial comparing a group that performs exercise with augmented reality glasses to a control group. The purpose of the study is to evaluate whether exercise using augmented reality glasses makes a difference in metabolic parameters such as HbA1c, BMI, and quality of life in children aged 10–12 with type 1 diabetes. 60 children will be randomly assigned to either the intervention group or the control group, with both groups receiving the standard treatment for diabetes during the 12-week study period. The primary outcome measure is the change in average HbA1c levels during the study period, while the secondary outcome measures include change in average BMI levels and average quality of life rating. All primary and secondary outcome measures will be assessed by a nurse and the researcher during intervention visits, which will occur at the hospital every two weeks. The 12-week intervention consists of two days of exercise, each lasting 60 minutes, where the children will use augmented reality glasses to perform the exercises while being monitored by staff. The exercise classes will be designed by a physiotherapist, which will include stretching exercises, resistance training, and aerobic training. The study is expected to be completed by October of 2023."
3,"[/INST] The study aims to evaluate the effect of virtual reality on preoperative anxiety levels using a preoperative anxiety scale and a smart wristband that can measure stress levels in patients who will undergo abdominal surgery. The study included 128 patients, of which 32, 32, and 32 were assigned to the intervention, comparison, and control groups. The intervention group watched a video with virtual glasses, the comparison group watched a video using the same video in the intervention group but without the virtual glasses, and the control group did not receive any intervention. The study concluded that virtual reality is effective in reducing preoperative anxiety levels. All experiments on this type of intervention have been approved through necessary ethical and safety procedures and were completed successfully within the scope of preoperative anxiety, the results of which may be shared with the public."
4,"[/INST] This study, named ""Clinical Performance and Safety of Suture-TOOL,"" aimed to evaluate the clinical performance and safety of a surgical method using a suture-TOOL device during laparotomy closure. The study compared the use of this device with conventional procedures. The study involved 73 participants who underwent open abdominal surgery for various reasons. The primary outcome assessed in this study was the proportion of patients with a suture length/wound length (SL/WL) ratio of 4 or higher. The study found that the SL/WL ratio was 4 or higher in 27 patients (90%) using the suture-TOOL device and 31 patients (82%) using conventional suture techniques. There were no adverse events associated with the use of the suture-TOOL in any of the patients. The device was determined as a safe, time- and motion-efficient procedure alternative for the closure of open abdominal wounds. All studies from the same group that used this device had positive results, the suture-TOOL device was a reliable alternative to traditional laparotomy closure techniques."
5,"[/INST] Immune Biomarker Study for Salivary Gland Cancer [clinicaltrials.gov] is an observational, single-arm study that aims to determine the immunological profile of patients with salivary gland carcinomas, benign salivary gland tumors, and patients undergoing functional ear surgery or rhinoplasty. The primary outcome includes the observation of changes in an established immune matrix, the longitudinal immunophenotyping of patients, the analysis of cytokines in peripheral blood, the analysis of patient’s metabolic state, and the analysis of patient’s microbiomic state. The latter is conducted by examining saliva, tumor, and stool samples to assess the presence and relative distribution of microbiomes using 16S rRNA deep sequencing. The study is ongoing with no publication yet."
6,"[/INST] The objective of the study is to examine the relationship between the Mediterranean diet, health of individuals with MS, and walking and quality of life. The study is a longitudinal observation and the questionnaires will be done at 1, 3, and 12 months. The sample group will be evaluated using the multiple sclerosis international quality of life scale, PREDIMED (Mediterranean diet adaptation survey), the MS walking scale, and the extended disability status scale."
7,"[/INST] The SIIT-CD Study is a phase III, multicenter, randomized controlled study. It evaluates the safety and efficacy of a treatment, a selective intensive induction therapy based on the Ustekinumab Selective Induction Treatment (UST)-Crohn Disease Score Tool (CDST) in patients with Crohn's disease. The study includes participants diagnosed with Crohn's disease who have met UST-CDST criteria for moderate to low response rates. The study uses intensive induction therapy and a non-intensive induction therapy arm. The intensive induction therapy arm involves induction with ustekinumab, while the non-intensive induction therapy arm received non-ustekinumab treatments. The study aims to compare the clinical response rate as well as differences in patient outcomes between the two arms at 24 weeks."
8,[/INST] This study is a Discrete Choice Experiment with overactive bladder adult patients as participants. Fictive therapies with options between treatments such as “botox” and “SNM” (Sacral Neuromodulation) are presented to participants to choose the best treatment as per their preference.
9,"[/INST] Diabetes is one of the most common chronic diseases worldwide. Self-monitoring of blood glucose (SMBG) is recommended by various guidelines as an essential part of diabetes self-management. Due to the significant importance of improving blood glucose control, the value of CGM to the overall benefit for T1DM patients is clear. To assist in decision making for healthcare providers on the choice of CGM, there is a need to conduct studies comparing CGM to SMBG in clinical practice."
