id,summary
0,"GPT4 Correct Assistant: This study aims to investigate the role of personality traits, defense mechanisms, central sensitization, and early traumatic experiences in patients with chronic migraine, fibromyalgia, and vulvodynia. The study will involve the administration of self-report questionnaires to assess these factors and their potential association with the onset and maintenance of each condition. The results may help identify specific psychological factors that characterize these chronic pain disorders and inform tailored interventions for each condition."
1,"GPT4 Correct Assistant: This clinical trial aims to compare the pressure ulcer prevention effects of two mattresses with different support surfaces used in bedridden patients. The experimental group uses a massage mattress with a cube/block system, while the control group uses a standard viscoelastic pressure sore prevention mattress. The study includes participants aged 18 and over, with a low risk rating on the Braden Scale and no pressure sores upon admission. The primary outcome measure is the number of patients without pressure ulcers after four weeks of monitoring."
2,"GPT4 Correct Assistant: This clinical trial aims to investigate the effects of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with Type 1 Diabetes Mellitus (T1DM). The study will be conducted in two groups: the experimental group will participate in moderate exercise sessions with augmented reality glasses for 12 weeks, while the control group will not receive any intervention. The primary outcome measures include changes in HbA1c levels, body mass index, and quality of life over the 12-week sessions."
3,"GPT4 Correct Assistant: This clinical trial aims to evaluate the effect of virtual reality on preoperative anxiety levels in patients undergoing abdominal surgery. The study will use a randomized experimental design, with three groups: an intervention group using virtual reality glasses, a placebo group watching the same video without virtual glasses, and a control group without intervention. The primary outcome measures are preoperative anxiety levels measured by a smart wristband and the Visual Anxiety Scale (VAS-A) before and after watching the video. The study will be conducted at the Trakya University Health Research Center General Surgery Clinic between 01.03.2023 and 01.12.2023, with a total of 96 participants."
4,"GPT4 Correct Assistant: The study ""Clinical Performance and Safety of Suture-TOOL for Abdominal Wound Closure in Men and Women Patients Undergoing Elective Open Abdominal Surgery"" aims to evaluate the efficacy and safety of the Suture-TOOL device for abdominal wound closure in adult patients undergoing elective open abdominal surgery. The primary outcome measure is the proportion of patients with a Suture length/Wound length (SL/WL) ratio of ≥ 4. Secondary outcome measures include stitch count, number of sutures used, incision closure time, and surgeons' comfort and satisfaction with the device. The study is a single-arm, prospective interventional study with an open-label design."
5,"GPT4 Correct Assistant: The Immune Biomarker Study for Salivary Gland Carcinoma is a study that aims to observe changes in an established immune matrix and longitudinal immunophenotyping of patients with salivary gland carcinoma and benign salivary gland tumors. The study will evaluate immune characteristics using patient's stool, saliva, and blood samples and analyze cytokines in peripheral blood, patient's metabolic state, and patient's microbiomic state by examining saliva, tumor, and stool samples. The study will observe changes in immune matrix, immunophenotyping, cytokine expression, metabolites, and microbiome from baseline to the end of the study period, up to 5 years."
6,"GPT4 Correct Assistant: This clinical trial aims to determine compliance with the Mediterranean diet, the use of various nutritional supplements, physical activity habits, walking-related problems, and quality of life in patients with Multiple Sclerosis (MS). The study will use the 14-item Mediterranean Diet Adaptation Scale (PREDIMED) to measure the participants' compliance with the Mediterranean diet. The quality of life will be determined using the Multiple Sclerosis International Quality of Life Scale, and the impacts on walking will be assessed using the 12-item Ms Gait Scale. The study will also evaluate the Expanded Disability Status Scale (EDSS) to measure the disability status of the patients."
7,"GPT4 Correct Assistant: The SIIT-CD Study is a multicenter, prospective, randomized, controlled trial investigating the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study includes participants aged 18-75 with moderate to low responsive activity and excludes those with extensive colectomy, significant liver/kidney diseases, or contraindications to ustekinumab. The study compares the clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen."
8,"GPT4 Correct Assistant: This clinical trial, titled ""The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment,"" aims to study the preferences of a diverse population for second-line therapy for overactive bladder (OAB). The study involves adult patients with OAB who have not undergone sacral neuromodulation (SNM) or Botox in the past. Participants will complete a one-hour discrete choice questionnaire, choosing between two fictive therapies with different characteristics of Botox and sacral neuromodulation."
9,"GPT4 Correct Assistant: The study aims to investigate the effectiveness, feasibility, acceptability, and cost of using continuous glucose monitoring (CGM) devices among people with type 1 diabetes in South Africa. It is a three-arm pragmatic randomized controlled study with a total of 6 study visits for all participants, including those randomized to standard of care. The primary outcome measure is the impact of continuous and intermittent CGM use on blood glucose levels in comparison to standard care. Secondary outcome measures include variability of blood glucose concentrations, unplanned clinic visits, quality of life, and cost of CGM use. The study will enroll 300 participants aged 4 years and older, with an expected study duration of 15 months."
10,"GPT4 Correct Assistant: This clinical trial is investigating the effectiveness of Stereotactic Body Radiotherapy (SBRT) with focal dose escalation on Dominant Lesion in Localized Prostate Cancer. The study is designed for male participants aged 18 years or older with primary localized prostate cancer of intermediate or high-risk disease. The intervention involves SBRT with a focal boost to the entire prostate and a simultaneous integrated boost to the dominant lesion, guided by magnetic resonance imaging (MRI). The primary outcome measure is biochemical progression-free survival, while secondary outcome measures include local control, incidence and severity of treatment-related adverse events, and patient-reported outcomes and quality of life assessment."
11,"GPT4 Correct Assistant: The SMILER study is a clinical trial investigating the use of serious games as an emerging e-health intervention for young people with neurological or respiratory disorders, specifically focusing on children with controlled asthma. The study compares two groups: one that uses a serious game as a support for asthma treatment and one that follows the standard treatment plan without the serious game. The primary outcome measure is the Pediatric Quality of Life Inventory (PedsQL), and the secondary outcome measure is the Skills and Difficulties Questionnaire (SDQ-Ita). The study will run for six months, and data will be collected and analyzed to determine the effectiveness of the serious game intervention in improving the quality of life for children with asthma."
12,"GPT4 Correct Assistant: This study aims to investigate the effects of acute and chronic stress on Pavlovian-to-Instrumental Transfer (PIT) in participants with Alcohol Use Disorder (AUD) and healthy controls. The study consists of three experiments, which assess PIT effects in a general and outcome-specific manner. The primary outcomes include neural PIT effects, measured using functional magnetic resonance imaging (fMRI), and behavioral PIT effects, measured using the PIT paradigm. Secondary outcomes include cognitive control measures, such as the Stroop task, No-go Simon task, and Stop Signal task. The study also investigates the relationship between PIT effects and chronic stress levels, as well as the effects of acute stress on PIT."
13,"GPT4 Correct Assistant: This is a multicenter, non-blinded, randomized control trial investigating the ideal time to wean CPAP off in extremely low birth weight infants. The study aims to recruit 130 infants born between 23 0/7 and 29 6/7 weeks gestational age, and will take place in four Neonatal Intensive Care Units within the Rady Children's/University of California, San Diego network. The primary endpoint is the number of participants with CPAP/NIS weaning failure within 72 hours after weaning off of CPAP. The study will compare a standardized maintenance/weaning protocol with routine care."
14,GPT4 Correct Assistant: This is a Phase 3 study comparing the efficacy and safety of Frexalimab (SAR441344) to a placebo in adults with nonrelapsing secondary progressive multiple sclerosis (SPMS). The primary outcome measure is time to onset of composite confirmed disability progression (cCDP) confirmed over 6 months. The study duration is up to 204 weeks.
15,"GPT4 Correct Assistant: This clinical trial aims to compare the effectiveness of the Modified Millard and Mishra techniques in unilateral cleft lip repair. The study includes infants aged 2-6 months with unilateral isolated cleft lip and excludes those with bilateral cleft lip, recurrent repair cleft lip cases, and facial cleft cases. The primary outcome measures are vertical lip height, horizontal lip length, and philtral length measured at 3 months post-operative. The study is designed as a randomized controlled study with three groups: control group (unilateral cleft lip repair with a standard procedure), Group A (unilateral cleft lip repair with Mishra technique), and Group B (unilateral cleft lip repair with Modified Millard technique)."
16,GPT4 Correct Assistant: The study investigates the use of endoscopic management of controlled colo-cutaneous fistula as a complication of acute sigmoid diverticulitis. It is a randomized controlled trial that compares endoscopic management using the OTSC system to surgical management. The primary outcome measure is the incidence of recurrence of fistula within one week after the endoscopy. The secondary outcome measure is the incidence of side effects of endoscopy within one month after the surgery. The study aims to evaluate the advantages and safety of endoscopic management and its effect on reducing morbidity and postoperative hospital stay.
17,"GPT4 Correct Assistant: This is a randomized, un-blinded study comparing usual care to an intervention group receiving early heart failure testing for high risk patients in Canada. The primary outcome measures are the number of participants diagnosed with heart failure, number of outpatient heart failure visits, number of urgent heart failure visits, and number of heart failure hospitalizations. The intervention group will have NT-proBNP drawn, and those with an elevated NT-proBNP (>125pg/mL) will have a study visit with assessments including physical examination, electrocardiogram, and study AI echocardiogram. The study aims to improve early diagnosis and screening of heart failure in high risk patients."
18,GPT4 Correct Assistant: This clinical trial aims to evaluate the effects of Propofol dose according to lean body weight in patients with a body mass index (BMI) below 35 undergoing general anesthesia for 2-6 hours. Patients will be divided into three groups based on their BMI and will receive routine anesthesia procedures. The primary outcome measure is the ratio of Propofol dose with sufficient depth of anesthesia according to total and lean body weight.
19,"GPT4 Correct Assistant: The study is a prospective cohort design comparing the efficacy and tolerability of letermovir for CMV prophylaxis in heart or lung transplant recipients with those who received standard valganciclovir prophylaxis in the two years before the study. The primary outcome measures are CMV viral load and the proportion of days during which appropriately renally-dosed prophylaxis is provided. Secondary outcome measures include frequency of acute cellular rejection, proportion of subjects who develop CMV resistance, proportion of subjects who develop neutropenia or severe thrombocytopenia, and proportion of subjects with unplanned discontinuation of MMF or azathioprine."
20,"GPT4 Correct Assistant: The study aims to develop and validate the PHYSIOSCORE, a tool to assess the complexity level and physical therapy care in hospitalized patients. It consists of 106 items divided into three domains: respiratory, imaging, and neuromuscular. The study involves three phases: questionnaire validation, concordance and inter-rater reliability, and clinical validation. In the first phase, a committee of ten physical therapists with over ten years of experience developed and validated the questionnaire. In the second phase, another ten physical therapists assessed the concordance and inter-rater reliability using the PHYSIOSCORE on a cohort of 110 patients hospitalized for clinical or surgical cardiac conditions. The third phase involved the clinical validation of the PHYSIOSCORE on 110 consecutive clinical and surgical patients. The study aims to measure respiratory variables like lung function, breath sounds, PaO2/FiO2, and chest X-ray, and neuromuscular variables like muscle strength, muscle tone, and postural control."
21,"GPT4 Correct Assistant: The SAVAL trial is a single-arm phase II trial evaluating selective adjuvant therapy for HPV-mediated oropharynx squamous cell carcinomas (OPSCCs) based on residual circulating tumor DNA (ctDNA) levels. The primary objective is to determine the progression-free survival (PFS) rate at 2 years post-treatment. Participants with p16+OPSCC who are candidates for surgery (TORS) and have positive ctDNA will be offered registration for the study prior to surgical resection. After TORS, all patients will have ctDNA drawn within 2-14 days post-operatively. Patients will be stratified into low, intermediate, or high risk groups based on pathological criteria and ctDNA levels. The low risk group will be observed, the intermediate group will be observed, and the high risk group will receive adjuvant treatment (RT +/- chemotherapy) per standard of care. The trial aims to determine if patients currently recommended for adjuvant RT based on intermediate risk factors can be observed post-TORS when ctDNA is cleared."
22,"GPT4 Correct Assistant: This study is a single-institution, prospective, phase 2 trial comparing ultra-hypofractionated whole breast irradiation (WBI) and partial breast irradiation (PBI) in patients with breast cancer. The primary purpose is to assess the acute and late toxicity of the two radiotherapy regimens. The study includes patients aged 50 or older with invasive ductal carcinoma, tumor size ≤ 3 cm, and R0 resection. The trial will measure local-regional control, disease-free survival, overall survival, distant metastasis occurrence, cosmetic outcome, and quality of life."
23,"GPT4 Correct Assistant: The study, titled ""Evaluating Patient-Reported Outcomes and Wearable Data Among Individuals With Relapsed/Refractory Multiple Myeloma,"" aims to explore the use of symptom monitoring and digital life coaching (DLC) to better understand the impact of multiple myeloma on symptom burden, health self-efficacy, and financial, physiologic, and psychosocial well-being among a diverse U.S.-based, contemporary sample. The study will enroll 100 individuals with relapsed/refractory multiple myeloma in a 3-month digital health coaching program and provide them with a Fitbit device for activity tracking. The primary outcome measure is the feasibility of the digital health coaching intervention, while the secondary outcome measure is the change in Cancer Behavior Inventory-Brief Form (CBI-B) scores."
24,"GPT4 Correct Assistant: This clinical trial aims to explore the effect of a 4-week WholeFiberTM intervention on fecal calprotectin, IBD-complaints, QoL, serum markers, and changes in the gut microbiota and increase in fecal SCFA-production in patients with Crohn's Disease (CD) and Ulcerative Colitis (UC). Patients will receive 10-20 grams of WholeFiberTM daily, consisting of a dried vegetable rich in prebiotic fiber. The primary parameter is the change in fecal calprotectin after the intervention. Secondary parameters include improvements in IBD-complaints, QoL, serum markers, and changes in the gut microbiota and increase in fecal SCFA-production. Additionally, the study will assess whether the response on the intervention will be different between UC and CD."
25,"GPT4 Correct Assistant: This is a multicenter randomized clinical trial investigating the use of porcine acellular dermal matrix (PADM) for the treatment of localized gingival recessions. The study includes participants aged 18 to 60 years with gingival recessions ranging from 3 to 5 mm in height and at least 2 mm of keratinized tissue width. Participants are randomly assigned to either a control group receiving coronally advanced flap (CAF) or an experimental group receiving CAF associated with PADM. The primary outcome measure is the reduction of gingival recession height, and the secondary outcome measure is the evaluation of keratinized tissue thickness after periodontal plastic surgery. Measurements are taken at baseline, 6 months, and 12 months."
26,"GPT4 Correct Assistant: This clinical trial aims to compare the effects of physical exercise performed through virtual reality games and conventional exercise on heart rate variability modulation in chronic renal patients undergoing hemodialysis. Participants will be randomly assigned to one of two groups: Group A will perform virtual reality exercises, while Group B will perform conventional exercises. After a 1-week washout period, the groups will switch exercises. The primary outcome measure is heart rate variability behavior during the interventions, while secondary outcome measures include blood pressure, heart rate, respiratory rate, and oxygen saturation. The study will help determine the relative effectiveness of virtual reality exercises compared to conventional exercises in improving heart rate variability modulation in chronic renal patients during hemodialysis."
27,"GPT4 Correct Assistant: The Respiratory Variability and Dyspnea During Spontaneous Breathing Trial is a study that aims to analyze the relationship between ventilatory variability and dyspnea in patients under invasive mechanical ventilation during a weaning trial. The study includes patients who have been ventilated for more than 48 hours and are ready for weaning. The primary outcomes measured are clinically significant dyspnea defined by a Dyspnea visual analog scale (D-VAS) > 30 mm for communicating patients and Mechanical Ventilation Respiratory Distress Observation Scale (MV-RDOS) ≥ 2.6 for all patients during the weaning trial. Secondary outcomes include the intensity of dyspnea, success or failure of the weaning trial, and EMG signal measurements."
28,"GPT4 Correct Assistant: This randomized control trial aims to compare the outcome of a modified mini-incision approach versus the conventional approach for carpal tunnel release in patients with primary carpal tunnel syndrome. The study will follow patients for six months postoperative to assess improvement in symptoms, postoperative complications, scar effect, and recurrence of symptoms."
29,"GPT4 Correct Assistant: The study aims to investigate the effectiveness of Action Observation Therapy (AOT) among patients with mild cognitive impairment (MCI). The intervention involves observing and imitating motor gestures, which has been shown to improve motor skills and brain plasticity. The study will compare the effects of AOT when performed under the guidance of a therapist or by observing peers without cognitive impairment. The primary outcome measures include changes in cognitive impairment, activities of daily living, functionality, upper limb dexterity, balance, and gait. The study will enroll participants aged 65 to 100 years with MCI and a MoCA score of less than 26. The intervention will last for 5 weeks, with data collected before and after the program."
30,"GPT4 Correct Assistant: This clinical trial aims to study the effectiveness of central line placement using an ultraportable ultrasound device compared to conventional methods. The study includes patients aged 18 years or older who are scheduled to have a central venous line placed preoperatively or in the ICU. The primary outcome measure is the length of the procedure. The study is designed as a randomized, parallel assignment, single-masked trial with two arms: one using an ultraportable ultrasound device and the other using conventional ultrasound."
31,"GPT4 Correct Assistant: This study aims to investigate the therapeutic efficacy of the Er:YAG laser in postpartum patients with episiotomy scars in respect of genital pelvic pain and scar tissue healing. The study is a randomized, sham-controlled, prospective study involving 40 participants. The experimental group will receive treatment with the Fotona Dynamis Er:YAG Laser System, while the control group will receive a sham treatment with the same device. The primary outcomes measured are the rate of change of pain and the rate of scar tissue healing. Secondary outcomes include the rate of improvement in sexual function and the incidence and severity of device-related adverse events."
32,"GPT4 Correct Assistant: This study aims to investigate the effects of Sense for Kids therapy compared to an equal dose of motor therapy on upper limb sensorimotor outcomes in children and adolescents with unilateral cerebral palsy. The study will involve 50 children and adolescents aged between 7 and 15 years old with spastic unilateral cerebral palsy. Participants will be randomized to either the Sense for Kids therapy group or the motor therapy group, both receiving three sessions of 45-minute upper limb therapy per week for a period of 8 weeks. The primary outcome measure is the Assisting Hand Assessment, which measures the spontaneous use of the more impaired upper limb during bimanual activities. The study will also assess various secondary outcomes, such as functional hand use, bimanual coordination, proprioception, tactile perception, unimanual motor skills, self-perceived occupational performance, and goal attainment. The study will provide valuable insights into the effectiveness of Sense for Kids therapy in improving upper limb sensorimotor outcomes in children and adolescents with unilateral cerebral palsy."
33,"GPT4 Correct Assistant: This pilot study aims to understand the gut microbiome profile of adult patients diagnosed with gallstone disease and its relationship with patient outcomes, including complications and post-operative outcomes. A prospective cohort design will be used to collect data from 75 adult patients presenting with newly diagnosed gallstone disease at East Kent University Hospitals NHS Foundation Trust Hospitals. Stool samples will be collected at various time points, and the study aims to identify differences in the gut microbiome between patients who experience complications and those who do not. The findings could help determine interventions to reduce the development of complications and alleviate the financial burden on the NHS."
34,"GPT4 Correct Assistant: This clinical trial aims to investigate the association between elevated initial APRI value and the development of sepsis-associated liver dysfunction (SALD) in adult patients with sepsis. The study includes adult sepsis patients aged 18 or older, excluding those with chronic liver diseases or specific conditions. The primary outcome measure is the occurrence of SALD within 30 days after ICU admission. Secondary outcomes include mortality within the same time frame. The study assesses the correlation between APRI and SALD occurrence and validates the results using the MIMIC IV database."
