Model,Precision,Recall,F1,F1 (Diseases),F1 (Interventions),F1 (Sponsor),F1 (Status),F1 (Phase),F1 (Study Type)
LLaMA-2-7B,0.4958,0.7088,0.4886,0.3630,0.1629,0.5834,0.5784,0.6597,0.8678
LLaMA-3-8B,0.7891,0.8396,0.7952,0.8466,0.1777,1.0000,0.9811,0.8681,0.9975
Mistral-7B,0.7811,0.8948,0.8002,0.8415,0.1529,1.0000,0.8932,0.8298,0.8928
OpenChat-7B,0.6942,0.9022,0.7834,0.9113,0.1834,1.0000,0.9081,0.8547,0.9850
Zephyr-7B,0.6699,0.8941,0.7105,0.6980,0.1959,0.8424,0.9189,0.7323,0.9426
BioMistral-7B,0.4837,0.7838,0.5592,0.3984,0.2440,0.5963,0.8595,0.7132,0.8354
MedAlpaca-7B,0.2813,0.5906,0.4432,0.1085,0.0557,0.3009,0.7378,0.6176,0.8903
Meditron-7B,0.6542,0.7168,0.6733,0.6662,0.4236,0.8889,0.8041,0.3117,0.8504
Panacea-Base,0.7474,0.8594,0.7690,0.3700,0.2718,0.7500,0.8568,0.5966,0.8005
Panacea-7B,0.8535,0.8923,0.8544,0.9677,0.7052,0.7980,0.9486,0.7973,0.9177
