Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA
LLaMA-2-7B,0.3340,0.2827,0.1544,0.3048,0.2773,0.1462,0.0147
LLaMA-3-8B,0.4628,0.5843,0.3943,0.6912,0.3121,0.3258,0.2017
Mistral-7B,0.2866,0.3726,0.3373,0.4418,0.1889,0.2168,0.0394
OpenChat-7B,0.4490,0.5673,0.3112,0.6563,0.3501,0.3368,0.2026
Zephyr-7B,0.3332,0.4106,0.4204,0.4794,0.2152,0.2768,0.0855
BioMistral-7B,0.1730,0.2207,0.2280,0.2449,0.1605,0.1599,0.0091
MedAlpaca-7B,0.0024,0.0031,0.0048,0.0022,0.0029,0.0092,0.0005
Meditron-7B,0.0238,0.0446,0.0309,0.0477,0.0293,0.0491,0.0017
Panacea,0.4142,0.5635,0.4228,0.6872,0.2222,0.3066,0.1526
Panacea-Base,0.0326,0.1001,0.0095,0.1304,0.0286,0.0172,-0.0058
