Model,BACC,F1,F1 (Class 0),F1 (Class 1),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1)
LLaMA-2-7B,0.3341,0.5899,0.7812,0.1804,0.0324,0.5552,0.6344,0.7223,0.8506,0.2222,0.1518
LLaMA-3-8B,0.3589,0.6174,0.8000,0.2603,0.1394,0.5991,0.6380,0.7696,0.8329,0.2793,0.2438
Mistral-7B,0.2719,0.4878,0.6216,0.2478,0.0460,0.5740,0.4297,0.7494,0.5311,0.2193,0.2847
OpenChat-7B,0.3110,0.5843,0.7748,0.1747,0.0797,0.5814,0.5951,0.7508,0.8003,0.2549,0.1328
Zephyr-7B,0.2822,0.5023,0.6368,0.2683,0.0683,0.5903,0.4424,0.7667,0.5445,0.2413,0.3022
BioMistral-7B,0.1669,0.3310,0.4144,0.1980,0.0088,0.5555,0.2439,0.7317,0.2891,0.1859,0.2117
MedAlpaca-7B,0.0016,0.0036,0.0036,0.0057,0.0002,0.6247,0.0018,0.8333,0.0018,0.1667,0.0029
Meditron-7B,0.0223,0.0629,0.0768,0.0454,0.0006,0.5558,0.0336,0.7368,0.0405,0.1667,0.0263
Panacea-7B,0.3569,0.6024,0.7700,0.2961,0.1397,0.6058,0.5992,0.7776,0.7627,0.2851,0.3080
Panacea-Base,0.0342,0.1216,0.1669,0.0137,-0.0047,0.5047,0.0693,0.6778,0.0952,0.1163,0.0073
