Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1),Precision (Class 2),Recall (Class 2)
LLaMA-2-7B,0.3184,0.2533,0.6553,0.2859,0.1378,0.2264,0.0076,0.5432,0.2295,0.7086,0.1791,0.1605,0.1207,0.1368,0.6553
LLaMA-3-8B,0.4540,0.5591,0.6021,0.6708,0.1799,0.4457,0.1770,0.6514,0.5080,0.8212,0.5670,0.1685,0.1930,0.3538,0.6021
Mistral-7B,0.2618,0.3451,0.3862,0.4147,0.1357,0.2385,0.0411,0.5981,0.2675,0.7797,0.2824,0.1619,0.1168,0.1725,0.3862
OpenChat-7B,0.3768,0.4893,0.4128,0.5755,0.2066,0.3886,0.1246,0.6710,0.4066,0.8480,0.4355,0.1631,0.2820,0.3671,0.4128
Zephyr-7B,0.3336,0.4107,0.5723,0.4991,0.1049,0.3285,0.1063,0.6717,0.3316,0.8757,0.3490,0.1543,0.0794,0.2304,0.5723
BioMistral-7B,0.1394,0.1888,0.2053,0.2115,0.1143,0.1623,0.0037,0.5552,0.1282,0.7262,0.1238,0.1600,0.0890,0.1342,0.2053
MedAlpaca-7B,0.0012,0.0011,0.0021,0.0000,0.0032,0.0042,0.0003,0.0960,0.0005,0.0000,0.0000,0.4000,0.0016,0.2222,0.0021
Meditron-7B,0.0240,0.0468,0.0298,0.0508,0.0290,0.0480,-0.0009,0.5219,0.0251,0.6798,0.0264,0.1639,0.0159,0.1233,0.0298
Panacea-Base,0.0366,0.1067,0.0128,0.1388,0.0355,0.0237,-0.0004,0.5389,0.0593,0.6948,0.0771,0.1678,0.0199,0.1690,0.0128
Panacea,0.4423,0.5680,0.5394,0.6896,0.2127,0.3675,0.2000,0.6898,0.5046,0.8805,0.5668,0.2052,0.2208,0.2787,0.5394
