id,summary
0,"assistant

This clinical trial aims to investigate the psychological factors associated with nociplastic pain (NP) in women with chronic migraine, fibromyalgia, and vulvodynia. The study will use a cluster analysis approach to identify specific psychological factors, including personality traits, defense mechanisms, central sensitization, and childhood traumatic experiences, that are associated with each condition. The study will also assess the presence and intensity of psychological symptoms of depression, anxiety, and psychosomatics, as well as physical and psychological quality of life, alexithymic traits, perceived social support, sexual satisfaction, and genital pain.

The study will recruit 150 women with a diagnosis of fibromyalgia, 150 women with a diagnosis of chronic migraine, 150 women with a diagnosis of vulvodynia, and 150 healthy controls. Participants will complete a protocol of self-report questionnaires, including measures of central sensitivity, traumatic experiences, personality traits, defense mechanisms, mental pain, environmental sensitivity, and other psychological and physical symptoms. The study will use a mixed-methods approach, combining both quantitative and qualitative data.

The primary outcome measures will include the Central Sensitivity Index, Traumatic Experiences Index, Personality Traits, Defense Mechanisms, Mental Pain, and Environmental Sensitivity. The secondary outcome measures will include the presence and intensity of psychological symptoms of depression, anxiety, and psychosomatics, as well as physical and psychological quality of life, alexithymic traits, perceived social support, sexual satisfaction, and genital pain.

The study aims to identify specific psychological factors that are associated with each condition and to provide a better understanding of the complex relationships between psychological and physical symptoms in women with chronic pain. The study will also provide insights into the development of tailored interventions for each condition, taking into account the unique psychological and physical characteristics of each patient."
1,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

This randomized, parallel-group trial compares the effectiveness of two mattresses with different support surfaces in preventing pressure ulcers in bedridden patients. Patients with a low risk of pressure ulcers, as determined by the Braden Scale, were randomly assigned to either a group using a massage mattress with a cube/block system or a standard of care mattress. The primary outcome measure was the number of patients without pressure ulcers, which was assessed daily for four weeks. The study aimed to determine whether the massage mattress with a cube/block system is more effective in preventing pressure ulcers than the standard of care mattress."
2,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: The Effect of Exercise with Augmented Reality Glasses on Metabolic Parameters, Anthropometric Measurement Values, and Quality of Life in Children Aged 10-12 with Type 1 Diabetes

Objective: To investigate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values, and quality of life in children aged 10-12 with Type 1 Diabetes.

Methodology: This randomized controlled trial will enroll 10-12 year old children with Type 1 Diabetes and randomly assign them to either an experimental group receiving exercise with augmented reality glasses or a control group with no intervention. The experimental group will perform moderate exercise with AR glasses for 60 minutes, twice a week, for 12 weeks. Primary outcomes will be changes in HbA1c levels, body mass index, and quality of life measured using the PedsQL 3.0 scale.

Population: Children aged 10-12 with Type 1 Diabetes, diagnosed at least 6 months prior, without other chronic diseases or psychiatric diagnoses, and able to read and write in Turkish.

Expected outcomes: The study aims to demonstrate the effectiveness of exercise with augmented reality glasses in improving metabolic control, anthropometric measurement values, and quality of life in children with Type 1 Diabetes."
3,"assistant

The study aims to evaluate the effect of virtual reality on preoperative anxiety in patients undergoing abdominal surgery. The study will recruit 96 patients, aged 18-70 years, who will be randomly assigned to one of three groups: an experimental group using virtual reality glasses, a placebo group watching a video without virtual reality glasses, and a control group receiving anxiety control by a researcher. The primary outcome measures will be the preoperative anxiety level, measured using a smart wristband and the Visual Anxiety Scale (VAS-A) before and after watching a video. The study will use a parallel assignment design, with no masking, and will collect data using a patient information form, VAS-A, and a smart wristband with stress level measurement feature. The study is expected to provide insights into the effect of virtual reality on anxiety management before abdominal surgery."
4,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

Title: Clinical Performance and Safety of Suture-TOOL for Abdominal Wound Closure

Objective: To evaluate the clinical performance and safety of Suture-TOOL, a device for fast and standardized closure of the abdominal fascia, in patients undergoing elective open abdominal surgery.

Eligibility: Male and female patients aged 18 years or older, with a body mass index (BMI) between 18-40 kg/m2, undergoing elective open abdominal surgery for benign or malignant colorectal disease through a midline incision.

Intervention: Suture-TOOL will be used to close the abdomen after laparotomy.

Primary Outcome Measure: Proportion of patients with a Suture length/Wound length (SL/WL) ratio ≥ 4.

Secondary Outcome Measures: Stitch count, number of sutures used, incision closure time, surgeons' comfort with the device, and surgeons' satisfaction with the final closure result.

The study is a single-arm, open-label, prospective interventional study with a primary purpose of prevention."
5,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

Title: Immune Biomarker Study for Salivary Gland Carcinoma

Objective: To investigate the immune biomarkers in patients with primary salivary gland carcinoma and benign salivary gland tumors, as well as healthy controls, to better understand the immune characteristics and potential biomarkers for diagnosis and treatment.

Design: This is an observational study with three groups: patients with primary salivary gland carcinoma, patients with benign salivary gland tumors, and healthy controls. Participants will undergo sampling of stool, saliva, and blood samples to evaluate immune characteristics.

Primary Outcome Measures:

* Changes in an established immune matrix (intratumoral and systemic)
* Longitudinal immunophenotyping of patients
* Analysis of cytokines in peripheral blood
* Analysis of patient's metabolic state
* Analysis of patient's microbiomic state

The study aims to identify potential biomarkers for diagnosis and treatment of salivary gland carcinoma and to understand the immune characteristics of patients with benign and malignant salivary gland tumors. The study will enroll patients aged 18 years or older and will follow them for up to 5 years."
6,"assistant

This clinical trial aims to investigate the relationship between compliance with the Mediterranean diet, physical activity habits, walking-related problems, and quality of life in patients with Multiple Sclerosis (MS). The study will enroll patients aged 18-65 with a diagnosis of MS and assess their diet, physical activity, and quality of life using various scales and questionnaires. The primary outcome measures include Mediterranean diet compliance status, quality of life, impacts on walking, and expanded disability status scale. The study will evaluate whether there is a significant relationship between these parameters and explore the potential benefits of the Mediterranean diet on MS symptoms and quality of life."
7,"assistant

Here is a clear, concise, and accurate summary of the clinical trial document:

The SIIT-CD Study is a multicenter, prospective, randomized, controlled trial evaluating the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools (UST-CDST) in patients with Crohn's Disease (CD). The study aims to compare the clinical response rate at week 24 between the experimental group receiving selective intensive induction therapy and the control group receiving non-intensive induction therapy. Eligible patients must be between 18-75 years old, have active CD, and have moderate to low responsive activity according to UST-CDST scores. The experimental group will receive ustekinumab induction therapy intravenously or subcutaneously at weeks 0, 8, and 16, while the control group will not receive any intervention. The primary outcome measure is the difference in clinical response rate at week 24 between the two groups."
8,"assistant

This clinical trial, ""The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment"", aims to understand the preferences of a diverse patient population with overactive bladder (OAB) for second-line treatments. The study includes adult patients with OAB who have not received sacral neuromodulation (SNM) or onabotulinum toxin A (Botox) in the past. Participants will fill out a questionnaire to choose between two fictive therapies, each with its own characteristics, to measure their preferences. The primary outcome measure is the discrete choice questionnaire, which will be completed within 1 hour."
9,"assistant

Here is a clear, concise, and accurate summary of the clinical trial:

**Title:** Three-arm Pragmatic Randomized Study on the Effectiveness, Feasibility, Acceptability, and Cost of the Use of Continuous Glucose Monitoring Devices Among People Living With Type 1 Diabetes in South Africa

**Objective:** To evaluate the effectiveness, feasibility, acceptability, and cost of using continuous glucose monitoring (CGM) devices among people living with type 1 diabetes in South Africa.

**Design:** A three-arm pragmatic randomized controlled trial with 15-month duration. Participants will be randomized to one of three arms: continuous use of CGM, intermittent use of CGM, or standard of care (self-monitoring of blood glucose).

**Population:** People living with type 1 diabetes aged 4 years and above, as well as their caregivers and healthcare providers.

**Interventions:** Continuous use of CGM for 9 months, intermittent use of CGM for 4 time points over 9 months, or standard of care (self-monitoring of blood glucose) for 9 months.

**Outcomes:** Primary outcome is the impact of CGM use on blood glucose levels, measured by HbA1c levels. Secondary outcomes include variability of blood glucose concentrations, unplanned visits to outpatient clinics and/or hospital, quality of life, acceptability and feasibility of CGM use, and cost of CGM use.

**Methodology:** Participants will undergo 6 study visits over 15 months. Blood glucose levels will be measured at each visit, and participants will complete surveys and participate in focus group discussions. Healthcare providers will also participate in semi-structured interviews.

**Expected Duration of Study Participation:** 15 months.

**Expected Number of Participants:** Not specified.

**Inclusion Criteria:** People living with type 1 diabetes with HbA1c levels ≥10% within the last 3 months, caregivers to children/adolescents living with type 1 diabetes, and healthcare providers engaged in diabetes care provision."
