id,summary
0,"[/INST] The study aims to identify specific psychosocial clusters of variables that are specific to the onset and maintenance of chronic migraine, fibromyalgia, and vulvodynia. The hypothesis is that specific psychological factors (clusters of high number of early traumatic events, high levels of central sensitization, and specific traits and defense mechanisms) characterize FM, CM, and VU groups compared to controls."
1,[/INST] The study is a randomized controlled trial that compares the effectiveness of two different mattresses in preventing pressure ulcers in bedridden patients. The mattresses used in the study are a massage mattress with a cube/block system and a viscoelastic pressure sore prevention mattress with an orthopedic support surface. The study is conducted in a hospital setting and the participants are bedridden patients who are at risk of developing pressure ulcers. The primary outcome measure of the study is the number of patients who develop pressure ulcers during the four-week follow-up period. The study is conducted in accordance with the Declaration of Helsinki and the protocol was approved by the Ethics Committee of the hospital.
2,"[/INST] The study is a randomized controlled trial that aims to evaluate the effect of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values and quality of life in children aged 10-12 with type 1 diabetes. The study will be conducted in a single center with a parallel group design. The study will include 40 children with type 1 diabetes who meet the eligibility criteria. The children will be randomly assigned to either the experimental group or the control group. The experimental group will receive exercise with augmented reality glasses, while the control group will not receive any intervention. The primary outcome measures are changes in HbA1c levels, body mass index, and quality of life. The secondary outcome measures are changes in insulin dose, blood glucose levels, and lipid profile. The study will be conducted over a period of 12 weeks. The results of the study will provide evidence on the effectiveness of exercise with augmented reality glasses on metabolic parameters, anthropometric measurement values and quality of life in children with type 1 diabetes."
3,"[/INST] The study aims to evaluate the effect of virtual reality on anxiety management before abdominal surgery. The study will be conducted in a tertiary hospital in Turkey. The study will include 96 patients who will undergo abdominal surgery. The patients will be randomly assigned to three groups: the intervention group, the control group, and the placebo group. The intervention group will watch a virtual reality video with mobile virtual glasses, the control group will watch the same video without virtual glasses, and the placebo group will not watch any video. The anxiety level will be measured using the Visual Anxiety Scale (VAS-A) and a smart wristband with stress level measurement feature before and after the video. The study will be conducted between March and December 2023. The results of the study will provide evidence on the effectiveness of virtual reality in managing preoperative anxiety."
4,"[/INST] The study is a single-arm prospective interventional study that aims to evaluate the clinical performance and safety of Suture-TOOL for abdominal wound closure in men and women undergoing elective open abdominal surgery for benign or malignant colorectal disease through midline incision. The study will measure the proportion of patients with Suture length/Wound length (SL/WL) ratio ≥ 4, stitch count, number of sutures used, incision closure time, surgeons’ comfort with the device during closure, and surgeons’ satisfaction with the final closure result. The study will be conducted in accordance with the Declaration of Helsinki and Good Clinical Practice guidelines."
5,"[/INST] The Immune Biomarker Study for Salivary Gland Carcinoma is a study that aims to evaluate the immune characteristics of patients with salivary gland carcinoma. The study will use a liquid immune profile-based signature (LIPS) and tumor-associated lymphocytes (TAL) to characterize the immune matrix of patients. The study will also use immunophenotyping, cytokine analysis, metabolomic analysis, and microbiomic analysis to assess the immune, metabolic, and microbiomic states of patients. The study will be conducted over a period of up to 5 years and will involve the collection of stool, saliva, and blood samples from patients. The study will evaluate the changes in the immune matrix, immune cell distribution, cytokine expression, metabolic state, and microbiomic state of patients from baseline to the end of the study period. The study will also assess the relationship between the immune characteristics of patients and their clinical outcomes."
6,"[/INST] The study is a cross-sectional study that aims to determine the compliance of individuals with multiple sclerosis to the Mediterranean diet, the impact of walking on quality of life, and the relationship between these two. The study will be conducted with 100 individuals diagnosed with multiple sclerosis. The study will be conducted in the Neurology Department of Centre Hospitalier Valida. The study will be conducted over a period of 1 year. The study will use the Mediterranean Diet Adaptation Scale (PREDIMED) to determine the compliance of individuals with multiple sclerosis to the Mediterranean diet. The Multiple Sclerosis International Quality of Life Scale will be used to determine the quality of life of individuals with multiple sclerosis. The 12-item MS Gait Scale will be used to determine the impact of walking on the quality of life of individuals with multiple sclerosis. The Expanded Disability Status Scale (EDSS) will be used to determine the disability status of individuals with multiple sclerosis. The study will be conducted in accordance with the Declaration of Helsinki and the Good Clinical Practice Guidelines. The study will be approved by the Ethics Committee of the Centre Hospitalier Valida."
7,"[/INST] The SIIT-CD study is a multicenter, prospective, randomized, controlled study that aims to evaluate the efficacy and safety of selective intensive induction therapy based on ustekinumab clinical decision-making tools in patients with Crohn's disease. The study will compare the clinical response rate at week 24 between the intensive induction regimen and the standard induction regimen."
8,"[/INST] The study titled ""The Preference of a Culturally and Linguistic Diverse (CALD) Population for Second Line OAB Therapy: a Discrete Choice Experiment"" is a questionnaire-based study that aims to determine the preferences of a culturally and linguistically diverse (CALD) population for second-line therapy for overactive bladder (OAB). The study will involve patients with OAB who are adults and do not have a history of sacral neuromodulation (SNM) or botulinum toxin A (Botox) treatment. The study will be conducted in Australia and will involve a discrete choice experiment (DCE) questionnaire. The DCE questionnaire will ask patients to choose between two fictive therapies, each option coming with its own characteristics related to SNM and Botox. The study will measure the patients' preferences for the different characteristics of the two fictive therapies. The study will be conducted over a period of one hour."
9,"[/INST] The study is a three-arm pragmatic randomized controlled trial to evaluate the effectiveness, feasibility, acceptability, and cost of the use of continuous glucose monitoring (CGM) in people with type 1 diabetes in South Africa. The study will compare the use of CGM in a continuous manner (arm 1), intermittent manner (arm 2), and standard of care (arm 3). The study will evaluate the impact of continuous and intermittent CGM use on blood glucose levels in comparison to standard of care in people living with type 1 diabetes. The study will also evaluate the impact of continuous and intermittent CGM use on the variability of blood glucose concentrations related to diabetes, unplanned visits to outpatient clinics and/or hospital related to diabetes complications, quality of life of recipients of diabetes care and their caregivers (where applicable), acceptability and feasibility of continuous and intermittent CGM use from a healthcare provider, recipients of care and care givers perspective, and cost of continuous and intermittent CGM use from a user and provider perspective."
